R_angstrom,E_RHF_cc-pVTZ_Eh
0.2,0.058248238480638426
0.2241206030150754,-0.185838777199548
0.24824120603015076,-0.37449923156528064
0.2723618090452261,-0.52275778326742
0.2964824120603015,-0.6407742116834686
0.3206030150753769,-0.7356599636310575
0.34472361809045227,-0.8125372022482771
0.3688442211055276,-0.8751843114368063
0.392964824120603,-0.926444507476585
0.4170854271356784,-0.9684935465461617
0.44120603015075377,-1.0030207010604764
0.4653266331658292,-1.0313544529708076
0.4894472361809045,-1.0545517138072935
0.5135678391959799,-1.0734622440735402
0.5376884422110553,-1.0887758124990523
0.5618090452261306,-1.101057143751065
0.585929648241206,-1.1107721245522428
0.6100502512562813,-1.1183076926135151
0.6341708542713568,-1.12398711818557
0.6582914572864322,-1.1280818908248134
0.6824120603015076,-1.1308210752626615
0.7065326633165829,-1.1323987552584736
0.7306532663316583,-1.13298001236841
0.7547738693467336,-1.1327057660961712
0.778894472361809,-1.1316967175134471
0.8030150753768843,-1.1300565791319759
0.8271356783919597,-1.1278747316912165
0.8512562814070352,-1.1252284180687684
0.8753768844221106,-1.1221845618952915
0.8994974874371859,-1.1188012811251165
0.9236180904522613,-1.1151291531429441
0.9477386934673366,-1.1112122769774242
0.971859296482412,-1.1070891692355973
0.9959798994974873,-1.102793523096096
1.0201005025125627,-1.0983548538383872
1.0442211055276382,-1.0937990497302597
1.0683417085427136,-1.0891488434485543
1.092462311557789,-1.0844242163813222
1.1165829145728643,-1.0796427459797902
1.1407035175879396,-1.074819904641045
1.164824120603015,-1.0699693172764255
1.1889447236180903,-1.0651029836575066
1.2130653266331657,-1.0602314707538762
1.237185929648241,-1.0553640795317563
1.2613065326633166,-1.0505089900390567
1.285427135678392,-1.0456733880345237
1.3095477386934673,-1.040863575918848
1.3336683417085426,-1.0360850702842361
1.357788944723618,-1.0313426880142402
1.3819095477386933,-1.026640622533692
1.4060301507537687,-1.0219825115287726
1.430150753768844,-1.0173714972244876
1.4542713567839194,-1.0128102801186607
1.478391959798995,-1.0083011669225699
1.5025125628140703,-1.003846113342966
1.5266331658291457,-0.9994467622521069
1.550753768844221,-0.9951044777266473
1.5748743718592964,-0.9908203753856648
1.5989949748743717,-0.98659534941884
1.623115577889447,-0.9824300966630933
1.6472361809045226,-0.9783251380568108
1.671356783919598,-0.9742808377734099
1.6954773869346733,-0.9702974203080157
1.7195979899497487,-0.9663749857638559
1.743718592964824,-0.9625135235565745
1.7678391959798994,-0.9587129247275316
1.7919597989949747,-0.9549729930304547
1.81608040201005,-0.9512934549308812
1.8402010050251254,-0.947673968635787
1.864321608040201,-0.9441141322504656
1.8884422110552763,-0.9406134911438071
1.9125628140703517,-0.9371715445891697
1.936683417085427,-0.9337877517379145
1.9608040201005024,-0.9304615369751923
1.9849246231155777,-0.927192294702474
2.0090452261306533,-0.9239793935884617
2.033165829145729,-0.920822180328769
2.057286432160804,-0.9177199829543516
2.0814070351758795,-0.9146721137294489
2.1055276381909547,-0.9116778716799696
2.1296482412060302,-0.9087365447941249
2.1537688442211054,-0.9058474119367699
2.177889447236181,-0.9030097445180547
2.2020100502512565,-0.9002228079557072
2.2261306532663316,-0.8974858629673195
2.250251256281407,-0.8947981667260766
2.2743718592964823,-0.892158973909152
