R_angstrom,E_UHF_cc-pVTZ_Eh
0.2,0.8388858779693069
0.2241206030150754,0.5828304742684498
0.24824120603015076,0.3821975762734612
0.2723618090452261,0.22205063497068644
0.2964824120603015,0.09229701813820745
0.3206030150753769,-0.014124851348513268
0.34472361809045227,-0.10230142162359246
0.3688442211055276,-0.17598683959713401
0.392964824120603,-0.2380091758312738
0.4170854271356784,-0.29053597834916906
0.44120603015075377,-0.3352533680593214
0.4653266331658292,-0.373490184735898
0.4894472361809045,-0.40630601977910974
0.5135678391959799,-0.43455478780960033
0.5376884422110553,-0.45893132345473664
0.5618090452261306,-0.48000598376610143
0.585929648241206,-0.49825065951342085
0.6100502512562813,-0.5140585632569372
0.6341708542713568,-0.5277594609854498
0.6582914572864322,-0.5396315302311432
0.6824120603015076,-0.5499106903699735
0.7065326633165829,-0.5587980148483085
0.7306532663316583,-0.566465669620425
0.7547738693467336,-0.573061705761858
0.778894472361809,-0.5787139519964497
0.8030150753768843,-0.5835331941609299
0.8271356783919597,-0.5876157860513489
0.8512562814070352,-0.5910458045747531
0.8753768844221106,-0.5938968382370015
0.8994974874371859,-0.596233479472752
0.9236180904522613,-0.5981125767051635
0.9477386934673366,-0.5995842903829741
0.971859296482412,-0.6006929879773241
0.9959798994974873,-0.6014780056095501
1.0201005025125627,-0.6019742982925975
1.0442211055276382,-0.6022129964121882
1.0683417085427136,-0.6022218827827797
1.092462311557789,-0.6020258021392155
1.1165829145728643,-0.6016470130535898
1.1407035175879396,-0.6011054908159454
1.164824120603015,-0.6004191886489294
1.1889447236180903,-0.5996042636399952
1.2130653266331657,-0.5986752729053144
1.237185929648241,-0.5976453447102498
1.2613065326633166,-0.5965263285450787
1.285427135678392,-0.5953289274878143
1.3095477386934673,-0.594062815582436
1.3336683417085426,-0.5927367424267114
1.357788944723618,-0.5913586267056804
1.3819095477386933,-0.5899356400283016
1.4060301507537687,-0.5884742821271025
1.430150753768844,-0.5869804482593144
1.4542713567839194,-0.585459489496789
1.478391959798995,-0.5839162664997736
1.5025125628140703,-0.5823551973239112
1.5266331658291457,-0.5807802997962408
1.550753768844221,-0.5791952290009077
1.5748743718592964,-0.5776033104259444
1.5989949748743717,-0.5760075693281486
1.623115577889447,-0.5744107568671601
1.6472361809045226,-0.5728153735368566
1.671356783919598,-0.5712236903823666
1.6954773869346733,-0.5696377684343528
1.7195979899497487,-0.568059476723741
1.743718592964824,-0.5664905091628596
1.7678391959798994,-0.5649324004995585
