R_Ang,E_CCSD_Ha,status,omega_root1_Ha,omega_root2_Ha,omega_root3_Ha,omega_root4_Ha,omega_root5_Ha,omega_root6_Ha,omega_root7_Ha,omega_root8_Ha,omega_root9_Ha,omega_root10_Ha,omega_root1_eV,omega_root2_eV,omega_root3_eV,omega_root4_eV,omega_root5_eV,omega_root6_eV,omega_root7_eV,omega_root8_eV,omega_root9_eV,omega_root10_eV,E_total_root1_Ha,E_total_root2_Ha,E_total_root3_Ha,E_total_root4_Ha,E_total_root5_Ha,E_total_root6_Ha,E_total_root7_Ha,E_total_root8_Ha,E_total_root9_Ha,E_total_root10_Ha
0.2,0.021706560582366148,ok,0.7296061813,0.7826547293,1.1383767055,1.1383767055,1.1851767877,1.5265757585,1.5265757585,1.5638957781,1.9216134302,1.995532746,19.853595606814647,21.29712013623148,30.976808226795832,30.976808226795832,32.25030333988401,41.540242598305596,41.540242598305596,42.55577206634904,52.2897652646501,54.30121231792307,0.7513127418823662,0.8043612898823662,1.1600832660823661,1.1600832660823661,1.206883348282366,1.548282319082366,1.548282319082366,1.585602338682366,1.9433199907823662,2.017239306582366
0.2190954773869347,-0.17681693692565859,ok,0.7198618921,0.7756789632,1.1293562107,1.1293562107,1.1737097911,1.5154591357,1.5154591357,1.5518300408,1.891691408,1.964262948,19.588439989700834,21.10729987052271,30.7313480586631,30.7313480586631,31.938270466319988,41.23774388154384,41.23774388154384,42.22744662833612,51.47554556130487,53.45031776671104,0.5430449551743414,0.5988620262743414,0.9525392737743413,0.9525392737743413,0.9968928541743415,1.3386421987743415,1.3386421987743415,1.3750131038743416,1.7148744710743413,1.7874460110743415
0.23819095477386937,-0.338251778288827,ok,0.7100642704,0.7687390428,1.1202972041,1.1202972041,1.1621359608,1.5043115525,1.5043115525,1.5396638042,1.8612296042,1.9327101776,19.321833121330062,20.9184550160019,30.484839931065554,30.484839931065554,31.623330499681167,40.934402689379354,40.934402689379354,41.89638646505344,50.64663765235357,52.59172314422566,0.37181249211117295,0.43048726451117303,0.7820454258111731,0.7820454258111731,0.8238841825111729,1.166059774211173,1.166059774211173,1.201412025911173,1.522977825911173,1.594458399311173
0.25728643216080405,-0.47100547846035723,ok,0.7002638148,0.7618736822,1.111245594,1.111245594,1.1505547208,1.4932146443,1.4932146443,1.5274635522,1.8304102747,1.9010429391,19.055149138611807,20.73163903699731,30.238533072486362,30.238533072486362,31.30818890483368,40.63244043421288,40.63244043421288,41.56440069558305,49.80800097348669,51.73001368605834,0.22925833633964277,0.29086820373964273,0.6402401155396427,0.6402401155396427,0.6795492423396428,1.0222091658396428,1.0222091658396428,1.0564580737396427,1.3594047962396427,1.4300374606396429
0.27638190954773867,-0.5811763747468723,ok,0.6905026814,0.7551136844,1.1022394517,1.1022394517,1.1390709021,1.4822393608,1.4822393608,1.5152712708,1.7994037872,1.8694004699,18.789535167465793,20.547690125839484,29.993463455774734,29.993463455774734,30.995698278609083,40.33378775573516,40.33378775573516,41.23263181718788,48.964271465992795,50.86897823488036,0.1093263066531277,0.1739373096531277,0.5210630769531277,0.5210630769531277,0.5578945273531277,0.9010629860531276,0.9010629860531276,0.9340948960531277,1.2182274124531276,1.2882240951531276
0.2954773869346734,-0.6732937497533888,ok,0.6808159159,0.7484829239,1.0933098775,1.0933098775,1.1277979382,1.4714449271,1.4714449271,1.5031007032,1.76837225,1.8378974554,18.525944849970983,20.367257940769342,29.750477363206326,29.750477363206326,30.688945303789104,40.04005625101776,40.04005625101776,40.90145380139137,48.11986032143685,50.0117375394079,0.0075221661466111645,0.07518917414661119,0.42001612774661123,0.42001612774661123,0.4545041884466112,0.7981511773466112,0.7981511773466112,0.8298069534466113,1.0950785002466112,1.1646037056466112
0.314572864321608,-0.750790414447565,ok,0.6712326043,0.7419993721,1.0844817763,1.0844817763,1.1168599328,1.4608775899,1.4608775899,1.4909341448,1.7374735615,1.8066291945,18.265169656507723,20.19083150849367,29.510252491634457,29.510252491634457,30.391307014088998,39.752504356876955,39.752504356876955,40.5703848814846,47.27906417416889,49.16088481481768,-0.07955781014756502,-0.008791042347565003,0.3336913618524351,0.3336913618524351,0.36606951835243495,0.7100871754524349,0.7100871754524349,0.740143730352435,0.9866831470524351,1.055838780052435
0.3336683417085427,-0.8163141729530224,ok,0.6617768176,0.7356760812,1.0757745961,1.0757745961,1.1063911908,1.4505693198,1.4505693198,1.4787203993,1.7068657215,1.7756765349,18.00786459235435,20.01876599746803,29.273318048098837,29.273318048098837,30.1064380320174,39.47200203765789,39.47200203765789,40.2380319351739,46.446182417773485,48.31862003910149,-0.1545373553530225,-0.08063809175302239,0.2594604231469776,0.2594604231469776,0.2900770178469775,0.6342551468469776,0.6342551468469776,0.6624062263469775,0.8905515485469776,0.9593623619469777
0.3527638190954774,-0.8719386340336653,ok,0.6524682397,0.7295220746,1.0672030581,1.0672030581,1.0965312353,1.4405367225,1.4405367225,1.4663738109,1.676711499,1.7451101454,17.75456528371658,19.85130694691507,29.04007461685867,29.04007461685867,29.83813497453865,39.199001157477134,39.199001157477134,39.90206414940127,45.62564422237852,47.48686620827168,-0.21947039433366533,-0.14241655943366538,0.1952644240663347,0.1952644240663347,0.22459260126633473,0.5685980884663348,0.5685980884663348,0.5944351768663346,0.8047728649663347,0.8731715113663346
0.37185929648241206,-0.9193092899929006,ok,0.6433223967,0.7235431268,1.0587778891,1.0587778891,1.0874130276,1.4307804647,1.4307804647,1.4537737616,1.6471836197,1.7149938863,17.505694217298416,19.68861148898467,28.810814089011945,28.810814089011945,29.59001590294281,38.933519858165894,38.933519858165894,39.559199341180474,44.82214969372131,46.66736104961733,-0.2759868932929006,-0.19576616319290063,0.1394685991070993,0.1394685991070993,0.1681037376070994,0.5114711747070994,0.5114711747070994,0.5344644716070993,0.7278743297070994,0.7956845963070994
0.39095477386934674,-0.9597469715589387,ok,0.6343504706,0.7177424354,1.0505065452,1.0505065452,1.0791426911,1.4212854954,1.4212854954,1.4407642416,1.6184702066,1.6853870215,17.261555670820854,19.53076663480549,28.58573935537565,28.58573935537565,29.364968582057013,38.6751485811498,38.6751485811498,39.205192267585566,44.0408179194166,45.861717216011776,-0.3253965009589387,-0.2420045361589387,0.09075957364106124,0.09075957364106124,0.11939571954106121,0.4615385238410613,0.4615385238410613,0.4810172700410612,0.6587232350410613,0.7256400499410612
0.41005025125628136,-0.9943226369605864,ok,0.6255588068,0.7121211922,1.0423939077,1.0423939077,1.0717713874,1.4120222316,1.4120222316,1.4271544046,1.590779035,1.6563448606,17.022322311414182,19.377804814907655,28.364983242889462,28.364983242889462,29.16438518993984,38.42308233198952,38.42308233198952,38.83484973623363,43.28730275340506,45.07143975834375,-0.36876383016058645,-0.2822014447605864,0.04807127073941353,0.04807127073941353,0.07744875043941368,0.41769959463941353,0.41769959463941353,0.43283176763941356,0.5964563980394135,0.6620222236394135
0.4291457286432161,-1.023912471337585,ok,0.6169484181,0.7066790572,1.0344429238,1.0344429238,1.065264584,1.4029486982,1.4029486982,1.4127234057,1.5643370903,1.6279173627,16.788021698770393,19.229716777419846,28.14862594895093,28.14862594895093,28.987326049395726,38.176178910026245,38.176178910026245,38.4421622512503,42.567780783078305,44.29788813297984,-0.4069640532375849,-0.3172334141375849,0.010530452462415019,0.010530452462415019,0.04135211266241501,0.379036226862415,0.379036226862415,0.3888109343624151,0.5404246189624151,0.6040048913624152
0.4482412060301507,-1.0492391639343754,ok,0.6085149521,0.7014145387,1.0266551737,1.0266551737,1.0594796007,1.3940134325,1.3940134325,1.3972355475,1.5393794091,1.6001456111,16.558535398051983,19.0864619311172,27.9367104729926,27.9367104729926,28.829908634392837,37.933037943853016,37.933037943853016,38.02071615964701,41.88864768014087,43.5421802734646,-0.4407242118343755,-0.3478246252343754,-0.022583990234375406,-0.022583990234375406,0.010240436765624583,0.34477426856562454,0.34477426856562454,0.34799638356562457,0.4901402451656245,0.5509064471656246
0.4673366834170854,-1.0709032706515678,ok,0.6002495448,0.6963252883,1.0190313398,1.0190313398,1.0541652192,1.38047211,1.385158833,1.385158833,1.5161207727,1.5730570372,16.333622207531278,18.947976372780246,27.72925538406444,27.72925538406444,28.685296946737804,37.56455978702403,37.692092016804985,37.692092016804985,41.255747941505476,42.80506262621871,-0.47065372585156773,-0.3745779823515678,-0.05187193085156783,-0.05187193085156783,-0.016738051451567815,0.30956883934843216,0.3142555623484322,0.3142555623484322,0.44521750204843213,0.5021537665484321
0.4864321608040201,-1.0894073235431063,ok,0.5921406317,0.6914083215,1.0115715652,1.0115715652,1.0489924378,1.3622792845,1.3763246154,1.3763246154,1.4947105467,1.5466614779,16.112967441132025,18.81417889002675,27.526264576115828,27.526264576115828,28.54453839409634,37.06950778543767,37.451700709510284,37.451700709510284,40.67314601220558,42.086802866927535,-0.49726669184310635,-0.39799900204310634,-0.07783575834310641,-0.07783575834310641,-0.040414885743106366,0.2728719609568937,0.28691729185689363,0.28691729185689363,0.4053032231568936,0.45725415435689376
0.5055276381909548,-1.1051745456827595,ok,0.584176272,0.6866601811,1.0042756944,1.0042756944,1.043612205,1.3426160243,1.3674511091,1.3674511091,1.4751864572,1.5209506026,15.896246173133344,18.68497540765217,27.327733817776206,27.327733817776206,28.39813480128221,36.53444321728011,37.21024030222477,37.21024030222477,40.141868471719846,41.387174308416796,-0.5209982736827595,-0.4185143645827595,-0.10089885128275955,-0.10089885128275955,-0.06156234068275945,0.23744147861724052,0.26227656341724037,0.26227656341724037,0.37001191151724044,0.4157760569172404
0.5246231155778894,-1.118563500470608,ok,0.5763462332,0.6820770588,0.9971434144,0.9971434144,1.0377211889,1.3215742476,1.3584822176,1.3584822176,1.4574547189,1.4959020232,15.683179963025472,18.56026229653427,27.133654591881673,27.133654591881673,28.237832086803774,35.961867304194584,36.96618433141992,36.96618433141992,39.659363292025766,40.7055677394501,-0.542217267270608,-0.436486441670608,-0.12142008607060806,-0.12142008607060806,-0.08084231157060806,0.20301074712939204,0.23991871712939195,0.23991871712939195,0.33889121842939196,0.37733852272939195
0.543718592964824,-1.1298796457513591,ok,0.5686432177,0.6776548858,0.9901743183,0.9901743183,1.031111421,1.2993560003,1.3493679193,1.3493679193,1.4413122169,1.4714869215,15.47357023299614,18.439928838984688,26.944015826119163,26.944015826119163,28.057971139480543,35.3572779952054,36.71817164001747,36.71817164001747,39.220103435127136,40.04119897685632,-0.5612364280513591,-0.45222475995135913,-0.1397053274513591,-0.1397053274513591,-0.09876822475135905,0.16947635454864085,0.21948827354864098,0.21948827354864098,0.311432571148641,0.3416072757486408
0.5628140703517588,-1.1393845130376004,ok,0.5610630698,0.6733894001,0.9833679328,0.9833679328,1.0236885831,1.2762215566,1.3400662034,1.3400662034,1.4264973874,1.4476781009,15.267303900687525,18.32385906007525,26.75880464133957,26.75880464133957,27.855985430342283,34.72775771209863,36.465059055912114,36.465059055912114,38.81697138743417,39.393327963448286,-0.5783214432376004,-0.4659951129376003,-0.15601658023760034,-0.15601658023760034,-0.11569592993760036,0.13683704356239956,0.20068169036239958,0.20068169036239958,0.28711287436239963,0.3082935878623996
0.5819095477386935,-1.1473030532322726,ok,0.5536042275,0.6692761925,0.9767237249,0.9767237249,1.0154597387,1.2524374971,1.330544365,1.330544365,1.4127413399,1.4244554882,15.064338461914312,18.211932979361716,26.578006533874028,26.578006533874028,27.632067167015745,34.080560482546574,36.205956633437836,36.205956633437836,38.442650265693516,38.7614084796276,-0.5936988257322725,-0.4780268607322725,-0.17057932833227252,-0.17057932833227252,-0.1318433145322726,0.10513444386772752,0.1832413117677274,0.1832413117677274,0.2654382866677274,0.27715243496772746
0.601005025125628,-1.1538295591255474,ok,0.5462668439,0.6653107363,0.9702411057,0.9702411057,1.0065030133,1.2282433846,1.3207796429,1.3207796429,1.3998008847,1.4018078858,14.864678082739733,18.10402741906197,26.401605478937167,26.401605478937167,27.388342252657093,33.42220514243019,35.94024500879,35.94024500879,38.09052254104741,38.145135823175636,-0.6075627152255474,-0.48851882282554737,-0.18358845342554742,-0.18358845342554742,-0.1473265458255475,0.07441382547445263,0.16695008377445264,0.16695008377445264,0.24597132557445267,0.24797832667445263
0.6201005025125628,-1.159132477141575,ok,0.539051931,0.6614884021,0.9639194317,0.9639194317,0.9969337799,1.2038384414,1.310759257,1.310759257,1.3797316495,1.3874720616,14.668350301086672,18.00001640678452,26.22958396600195,26.22958396600195,27.127950146531685,32.75811280670359,35.66757641773125,35.66757641773125,37.544410830358636,37.75503817371485,-0.6200805461415749,-0.49764407504157493,-0.19521304544157492,-0.19521304544157492,-0.16219869724157499,0.0447059642584251,0.151626779858425,0.151626779858425,0.22059917235842508,0.22833958445842506
0.6391959798994975,-1.1633583467150677,ok,0.5319607046,0.6578044659,0.9577580049,0.9577580049,0.9868770775,1.1793811535,1.3004799521,1.3004799521,1.3582277856,1.3755910526,14.475388200558525,17.89977139594074,26.061923001520764,26.061923001520764,26.854293333164332,32.09259609912736,35.387862281757066,35.387862281757066,36.959260883994574,37.43173944882379,-0.6313976421150677,-0.5055538808150677,-0.2056003418150677,-0.2056003418150677,-0.17648126921506768,0.016022806784932397,0.13712160538493223,0.13712160538493223,0.19486943888493236,0.21223270588493226
0.6582914572864321,-1.1666350493877067,ok,0.5249941729,0.6542541119,0.9517560689,0.9517560689,0.9764497645,1.154994689,1.2899471797,1.2899471797,1.3372988393,1.3640293923,14.285819215674904,17.803161341936754,25.898602002801066,25.898602002801066,26.57055169161352,31.429006594443788,35.101250943739586,35.101250943739586,36.38975524250374,37.11713064475559,-0.6416408764877067,-0.5123809374877066,-0.2148789804877067,-0.2148789804877067,-0.1901852848877067,-0.01164036038770666,0.12331213031229327,0.12331213031229327,0.17066378991229336,0.1973943429122933
0.6773869346733667,-1.1690745070386053,ok,0.5181529283,0.6508324348,0.9459128021,0.9459128022,0.9657516693,1.1307737748,1.2791740362,1.2791740362,1.3169463866,1.3526876689,14.099659466461027,17.7100527647596,25.739598612967907,25.739598615689044,26.27944169102997,30.76992194291665,34.808098774877635,34.808098774877635,35.83593679103083,36.80850662862303,-0.6509215787386052,-0.5182420722386053,-0.22316170493860532,-0.2231617048386053,-0.20332283773860527,-0.038300732238605306,0.11009952916139465,0.11009952916139465,0.1478718795613947,0.18361316186139476
0.6964824120603015,-1.170774936386807,ok,0.5114370822,0.6475344418,0.9402273085,0.9402273085,0.954863255,1.106791059,1.2681800615,1.2681800615,1.2971694474,1.3414896074,13.916911984265312,17.620309803400037,25.584888450619214,25.584888450619214,25.983152843906332,30.117319000055094,34.50893748293732,34.50893748293732,35.29777885969621,36.5037918519402,-0.659337854186807,-0.523240494586807,-0.23054762788680694,-0.23054762788680694,-0.21591168138680694,-0.06398387738680689,0.0974051251131931,0.0974051251131931,0.126394511013193,0.17071467101319304
0.7155778894472362,-1.1718227429296812,ok,0.5048462874,0.6443550559,0.9346986051,0.9346986051,0.9438472083,1.0831023295,1.2569899749,1.2569899749,1.2779638264,1.3303771318,13.737567321294465,17.533794305650087,25.434444766962308,25.434444766962308,25.683390942248792,29.47271583195386,34.20443971433866,34.20443971433866,34.775167288571154,36.20140598623948,-0.6669764555296812,-0.5274676870296813,-0.23712413782968123,-0.23712413782968123,-0.22797553462968123,-0.08872041342968129,0.08516723197031872,0.08516723197031872,0.1061410834703187,0.1585543888703187
0.7346733668341707,-1.1722941193289098,ok,0.4983798042,0.6412891204,0.9293256105,0.9293256105,0.9327519134,1.0597505661,1.2456324116,1.2456324116,1.2593222348,1.3193064478,13.561605349286072,17.4503659505543,25.2882381356041,25.2882381356041,25.381472587211746,28.837281978551534,33.8953846725691,33.8953846725691,34.26790373930359,35.900157327908204,-0.6739143151289098,-0.5310049989289098,-0.24296850882890986,-0.24296850882890986,-0.23954220592890985,-0.11254355322890985,0.07333829227109012,0.07333829227109012,0.08702811547109013,0.14701232847109025
0.7537688442211055,-1.1722563999514697,ok,0.4920365848,0.6383314028,0.9216154239,0.9241071315,0.9241071315,1.0367690036,1.2341387086,1.2341387086,1.2412349693,1.308244998,13.388997556149627,17.369882354534145,25.078433270002858,25.146236087918524,25.146236087918524,28.21192180482772,33.58262508083943,33.58262508083943,33.77572417164936,35.599159944959794,-0.6802198151514697,-0.5339249971514697,-0.25064097605146973,-0.24814926845146967,-0.24814926845146967,-0.13548739635146978,0.06188230864853028,0.06188230864853028,0.0689785693485303,0.13598859804853025
0.7728643216080402,-1.1717692134531448,ok,0.4858153579,0.6354765971,0.9104690841,0.9190418518,0.9190418518,1.0141834242,1.22254178,1.22254178,1.2236908959,1.2971691137,13.219709348049797,17.292199133974197,24.77512591247603,25.00840280555786,25.00840280555786,27.597336880184894,33.267056577437685,33.267056577437685,33.29832561403399,35.297769779256626,-0.6859538555531448,-0.5362926163531447,-0.26130012935314473,-0.2527273616531448,-0.2527273616531448,-0.1575857892531447,0.05077256654685525,0.05077256654685525,0.05192168244685513,0.12539990024685532
