R_angstrom,E_root0_Eh,E_root1_Eh,E_root2_Eh,E_root3_Eh,E_root4_Eh,E_root5_Eh
0.6,-1.1535176945512042,-0.6068636712687182,-0.48798274466580194,-0.18290945921743107,-0.1829094592174294,-0.14650737601376185
0.6492753623188405,-1.1651984869476062,-0.6369294045623146,-0.5092671414812472,-0.21059482912464897,-0.21059482912464864,-0.1837717525601514
0.6985507246376811,-1.1709181999236917,-0.6602000675112948,-0.5237167420363127,-0.23126029533954168,-0.23126029533953923,-0.2172314843262309
0.7478260869565216,-1.172318621564726,-0.6783182117884407,-0.533059358445514,-0.24722387925175787,-0.24656404795111758,-0.2465640479511137
0.7971014492753623,-1.170585565359875,-0.6924867428184193,-0.5385707536137183,-0.2742226214899798,-0.2577124131676858,-0.25771241316767535
0.8463768115942029,-1.1665876367766395,-0.703599248674419,-0.5412131809721041,-0.29862682907436794,-0.2656000470562358,-0.2656000470562347
0.8956521739130434,-1.1609687991158788,-0.7123260220384966,-0.541729404204224,-0.3206781383924136,-0.28153480165804495,-0.27090347604962456
0.9449275362318841,-1.1542116136376417,-0.7191740442398765,-0.5407117259683174,-0.3405191456446237,-0.3234540952154039,-0.2741446072253676
0.9942028985507245,-1.146681300733116,-0.7245298691803506,-0.5386605356378076,-0.36139952122365837,-0.35827154269289574,-0.27573439732604943
1.0434782608695652,-1.1386568485139212,-0.7286904500670573,-0.5360486289599163,-0.3955646410116521,-0.37407191514089233,-0.276002897574697
1.0927536231884059,-1.1303531784590404,-0.7318853743033189,-0.5334237014601608,-0.42595930147478556,-0.3880726010848756,-0.2752195483079498
1.1420289855072463,-1.1219370630774468,-0.7342930538287442,-0.5316327024041467,-0.45220834027585805,-0.40043081644942297,-0.2736063242716769
1.1913043478260867,-1.1135386358757806,-1.1135386358757786,-1.1135386358757775,-1.1135386358755885,-1.1135386358754116,-1.1135386358753387
1.2405797101449274,-1.10525976336789,-1.1052597633678733,-1.1052597633678711,-1.1052597633677397,-1.1052597633676666,-1.105259763367371
1.289855072463768,-1.0971801725839634,-0.7380403369328171,-0.5500799843323502,-0.49102771886459384,-0.42912126005019713,-0.26544601227676234
1.3391304347826085,-1.089361973650992,-0.7384215693316744,-0.5650029060594088,-0.49083688172910434,-0.4363232496414454,-0.26201586945289135
1.3884057971014492,-1.081853033063094,-1.0818530330630933,-1.0818530330630876,-1.0818530330630287,-1.081853033062742,-1.0818530330625338
1.4376811594202898,-1.0746895224565494,-1.0746895224565391,-1.0746895224565056,-1.0746895224562512,-1.074689522456175,-1.0746895224561615
1.4869565217391303,-1.0678978665572119,-0.7377370803018726,-0.608416414182543,-0.4817977496614206,-0.45234796505124447,-0.25060996678800135
1.536231884057971,-1.0614962491277218,-0.7370181767730578,-0.6206833340260306,-0.4782997706277795,-0.4561240355301134,-0.24658666821790023
1.5855072463768116,-1.055495792213979,-0.7360980433771207,-0.6317202952847683,-0.47491962874774696,-0.4592450314222234,-0.24251730656556747
1.634782608695652,-1.0499014978885182,-0.7349967236444844,-0.6415669539606047,-0.4717250594979996,-0.4617763912728453,-0.23844149452890792
1.6840579710144925,-1.0447130247325882,-0.7337311797376005,-0.6502826326827065,-0.4687459898461782,-0.46377621727157814,-0.23440126070351983
1.7333333333333334,-1.039925357873704,-0.7323159364230278,-0.6579349082387232,-0.46598917086562963,-0.46529545258247584,-0.23044045386577283
1.7826086956521738,-1.0355294182331345,-1.0355294182331252,-1.0355294182330854,-1.0355294182327983,-1.0355294182325057,-1.0355294182324017
1.8318840579710143,-1.0315126427355865,-0.7290855912508099,-0.6703312262428329,-0.4670638867468165,-0.461106331287406,-0.22293177938332348
1.8811594202898547,-1.0278595536424149,-0.7272921414169194,-0.6752153912581792,-0.4673866210822725,-0.45894990353295845,-0.21946458227173543
1.9304347826086956,-1.024552322322221,-0.7253931138774201,-0.6793142947764906,-0.46737941541795736,-0.45696453085446087,-0.2162340593116109
1.979710144927536,-1.0215713240318791,-0.7233980533662075,-0.682693190683448,-0.46707523293159625,-0.4551419977412954,-0.2132653136316661
2.0289855072463765,-1.0188956732246102,-0.7213163965952961,-0.6854147406313648,-0.466509192494025,-0.45348086375109986,-0.2105752158057708
2.0782608695652174,-1.0165037264748142,-1.0165037264748034,-1.016503726474798,-1.016503726474764,-1.0165037264745054,-1.0165037264744663
2.127536231884058,-1.0143735418372632,-1.0143735418372544,-1.014373541837245,-1.0143735418370237,-1.014373541836708,-1.0143735418364304
2.1768115942028983,-1.0124832842838858,-1.0124832842838816,-1.0124832842838476,-1.0124832842837606,-1.0124832842833495,-1.0124832842832925
