R_angstrom,E_CCSD_cc-pVTZ_Eh
0.2,0.02166945389771073
0.2241206030150754,-0.2225406541498347
0.24824120603015076,-0.4113065628199847
0.2723618090452261,-0.5596556221473622
0.2964824120603015,-0.6777508652857482
0.3206030150753769,-0.7727071168139767
0.34472361809045227,-0.8496497975700983
0.3688442211055276,-0.9123603327014276
0.392964824120603,-0.9636847785471077
0.4170854271356784,-1.0058015483152025
0.44120603015075377,-1.0404023618012785
0.4653266331658292,-1.0688178929106087
0.4894472361809045,-1.0921069595635324
0.5135678391959799,-1.11112094694812
0.5376884422110553,-1.1265510025140073
0.5618090452261306,-1.1389630328738956
0.585929648241206,-1.1488239547738193
0.6100502512562813,-1.1565216201443453
0.6341708542713568,-1.1623801326633934
0.6582914572864322,-1.166671773419167
0.6824120603015076,-1.169626392481069
0.7065326633165829,-1.1714388726463856
0.7306532663316583,-1.1722751078680738
0.7547738693467336,-1.1722768284162752
0.778894472361809,-1.171565524321433
0.8030150753768843,-1.1702456564911572
0.8271356783919597,-1.1684073016798169
0.8512562814070352,-1.1661283408785332
0.8753768844221106,-1.16347628398501
0.8994974874371859,-1.1605097940876068
0.9236180904522613,-1.1572799682492634
0.9477386934673366,-1.1538314161692906
0.971859296482412,-1.1502031711113179
0.9959798994974873,-1.1464294611305668
1.0201005025125627,-1.1425403636565727
1.0442211055276382,-1.1385623621394245
1.0683417085427136,-1.1345188196828129
1.092462311557789,-1.1304303817028634
1.1165829145728643,-1.1263153183978694
1.1407035175879396,-1.1221898164393105
1.164824120603015,-1.1180682286322892
1.1889447236180903,-1.1139632884661168
1.2130653266331657,-1.1098862949468307
1.237185929648241,-1.1058472719942263
1.2613065326633166,-1.1018551060016115
1.285427135678392,-1.097917664688469
1.3095477386934673,-1.0940419000602595
1.3336683417085426,-1.0902339376910892
1.357788944723618,-1.0864991545591536
1.3819095477386933,-1.0828422469710786
1.4060301507537687,-1.0792672900589075
1.430150753768844,-1.0757777900291503
1.4542713567839194,-1.0723767301694656
1.478391959798995,-1.0690666114722405
1.5025125628140703,-1.0658494886204624
1.5266331658291457,-1.0627270019917823
1.550753768844221,-1.0597004063048452
1.5748743718592964,-1.056770596168671
1.5989949748743717,-1.0539381298154762
1.623115577889447,-1.0512032501223028
1.6472361809045226,-1.04856590459374
1.671356783919598,-1.046025763987337
1.6954773869346733,-1.0435822399568995
1.7195979899497487,-1.0412345020790563
1.743718592964824,-1.0389814944083307
1.7678391959798994,-1.0368219517297448
1.7919597989949747,-1.0347544156363677
1.81608040201005,-1.0327772504825419
1.8402010050251254,-1.0308886592778126
1.864321608040201,-1.0290866995037902
1.8884422110552763,-1.0273692988229677
1.9125628140703517,-1.025734270671354
1.936683417085427,-1.0241793295824935
1.9608040201005024,-1.022702106348506
1.9849246231155777,-1.021300162605248
2.0090452261306533,-1.0199710051384347
2.033165829145729,-1.0187120995835548
2.057286432160804,-1.017520883517636
2.0814070351758795,-1.016394778876844
2.1055276381909547,-1.0153312036414994
2.1296482412060302,-1.0143275827453322
2.1537688442211054,-1.0133813581774678
2.177889447236181,-1.012489998256904
2.2020100502512565,-1.0116510060708896
2.2261306532663316,-1.0108619270775094
2.250251256281407,-1.0101203558820366
2.2743718592964823,-1.0094239422036888
2.298492462311558,-1.0087703960562497
2.3226130653266335,-1.0081574921351506
2.3467336683417086,-1.0075830736419915
2.370854271356784,-1.0070450552182637
2.3949748743718593,-1.0065414250583373
2.419095477386935,-1.006070247145862
2.44321608040201,-1.0056296620474048
2.4673366834170856,-1.0052178877000304
2.4914572864321607,-1.0048332195572203
2.5155778894472363,-1.0044740303136015
2.539698492462312,-1.0041387692324668
2.563819095477387,-1.0038259611187104
2.5879396984924625,-1.0035342049789948
2.6120603015075377,-1.0032621724093662
2.636180904522613,-1.003008605749492
2.6603015075376883,-1.0027723160403659
2.684422110552764,-1.0025521808204454
2.708542713567839,-1.0023471417938303
2.7326633165829146,-1.0021562023987125
2.75678391959799,-1.0019784253070516
2.7809045226130653,-1.0018129298784935
2.805025125628141,-1.0016588895924061
2.829145728643216,-1.001515529478474
2.8532663316582916,-1.0013821235635565
2.8773869346733667,-1.0012579923995097
2.9015075376884423,-1.0011425003921932
2.925628140703518,-1.0010350536787895
2.949748743718593,-1.0009350975785385
2.9738693467336685,-1.0008421143656303
2.9979899497487437,-1.0007556210730493
3.0221105527638192,-1.0006751673817584
3.0462311557788944,-1.0006003335987204
3.07035175879397,-1.000530728725879
3.0944723618090455,-1.0004659886213763
3.1185929648241206,-1.0004057742531711
3.142713567839196,-1.0003497700446031
3.1668341708542713,-1.0002976823108682
3.190954773869347,-1.0002492377842327
3.215075376884422,-1.000204182226215
3.2391959798994976,-1.0001622791237463
3.2633165829145727,-1.0001233084664187
3.2874371859296483,-1.0000870656016325
3.311557788944724,-1.0000533601647108
3.335678391959799,-1.0000220150798398
3.3597989949748746,-0.9999928656262713
3.3839195979899497,-0.9999657585713078
3.4080402010050252,-0.999940551377751
3.4321608040201004,-0.9999171113920218
