R_angstrom,E_RHF_aug-cc-pVQZ_hartree,
0.2,0.00703171474483745,
0.2048048048048048,-0.04648178902658820,
0.20960960960960962,-0.09715036573725750,
0.21441441441441442,-0.14516858746091900,
0.21921921921921922,-0.19071404988107400,
0.22402402402402405,-0.23394917648129400,
0.22882882882882882,-0.27502279862980100,
0.23363363363363365,-0.31407153898817000,
0.23843843843843845,-0.35122103221232100,
0.24324324324324326,-0.38658700138728600,
0.24804804804804806,-0.42027621007373600,
0.25285285285285286,-0.45238730891663500,
0.2576576576576577,-0.48301158806692100,
0.26246246246246246,-0.51223364783985200,
0.2672672672672673,-0.54013199409238100,
0.27207207207207207,-0.56677957231542200,
0.2768768768768769,-0.59224424491699300,
0.2816816816816817,-0.61658921978552300,
0.2864864864864865,-0.63987344234833700,
0.2912912912912913,-0.66215194870344100,
0.2960960960960961,-0.68347618630521100,
0.30090090090090094,-0.70389430621151300,
0.3057057057057057,-0.72345142305441900,
0.3105105105105105,-0.74218985199061700,
0.3153153153153153,-0.76014932154534400,
0.32012012012012014,-0.77736716732636500,
0.3249249249249249,-0.79387850780452400,
0.32972972972972975,-0.80971640547000500,
0.3345345345345345,-0.82491201336983200,
0.33933933933933935,-0.83949470968778400,
0.3441441441441442,-0.85349222092593400,
0.34894894894894896,-0.86693073481366400,
0.35375375375375373,-0.87983500430760600,
0.35855855855855856,-0.89222844290220600,
0.3633633633633634,-0.90413321259045400,
0.36816816816816816,-0.91557030488437800,
0.37297297297297294,-0.92655961553986500,
0.37777777777777777,-0.93712001366515100,
0.3825825825825826,-0.94726940560532000,
0.3873873873873874,-0.95702479413023100,
0.3921921921921922,-0.96640233328171700,
0.396996997,-0.97541737929990800,
0.4018018018018018,-0.98408453795024900,
0.40660660660660664,-0.99241770850331900,
0.4114114114114114,-1.00043012472446000,
0.4162162162162162,-1.00813439304512000,
0.421021021,-1.01554252817802000,
0.42582582582582584,-1.02266598636695000,
0.4306306306306306,-1.02951569645427000,
0.43543543543543545,-1.03610208893517000,
0.4402402402402402,-1.04243512314448000,
0.44504504504504505,-1.04852431271931000,
0.4498498498498499,-1.05437874946043000,
0.45465465465465466,-1.06000712570302000,
0.4594594594594595,-1.06541775531046000,
0.46426426426426426,-1.07061859337034000,
0.4690690690690691,-1.07561725469577000,
0.47387387387387386,-1.08042103120374000,
0.4786786786786787,-1.08503690824231000,
0.48348348348348347,-1.08947157994029000,
0.4882882882882883,-1.09373146364518000,
0.49309309309309307,-1.09782271349606000,
0.4978978978978979,-1.10175123320999000,
0.5027027027027027,-1.10552268811389000,
0.5075075075075075,-1.10914251649501000,
0.5123123123123123,-1.11261594030185000,
0.5171171171171172,-1.11594797525285000,
0.521921922,-1.11914344039725000,
0.5267267267267267,-1.12220696715994000,
0.5315315315315315,-1.12514300791583000,
0.5363363363363363,-1.12795584412301000,
0.5411411411411411,-1.13064959404193000,
0.5459459459459459,-1.13322822006544000,
0.5507507507507508,-1.13569553568243000,
0.5555555555555556,-1.13805521209088000,
0.5603603603603604,-1.14031078447425000,
0.5651651651651652,-1.14246565796675000,
0.56996997,-1.14452311330326000,
0.5747747747747748,-1.14648631218573000,
0.5795795795795795,-1.14835830237156000,
0.5843843843843843,-1.15014202249645000,
0.5891891891891892,-1.15184030665394000,
0.593993994,-1.15345588874000000,
0.5987987987987988,-1.15499140658570000,
0.6036036036036037,-1.15644940585709000,
0.6084084084084084,-1.15783234382239000,
0.6132132132132132,-1.15914259288553000,
0.618018018,-1.16038244397786000,
0.6228228228228228,-1.16155410979612000,
0.6276276276276276,-1.16265972788778000,
0.6324324324324324,-1.16370136360398000,
0.6372372372372372,-1.16468101291996000,
0.6420420420420421,-1.16560060513671000,
0.6468468468468469,-1.16646200546171000,
0.6516516516516516,-1.16726701748210000,
0.6564564564564564,-1.16801738553100000,
0.6612612612612612,-1.16871479695228000,
0.666066066,-1.16936088426815000,
0.6708708708708708,-1.16995722725482000,
0.6756756756756757,-1.17050535492838000,
0.6804804804804805,-1.17100674744605000,
0.6852852852852853,-1.17146283792547000,
0.6900900900900901,-1.17187501418709000,
0.6948948948948949,-1.17224462041997000,
0.6996996996996997,-1.17257295877862000,
0.7045045045045044,-1.17286129091132000,
0.7093093093093092,-1.17311083942172000,
0.7141141141141141,-1.17332278927223000,
0.7189189189189189,-1.17349828912460000,
0.7237237237237237,-1.17363845262783000,
0.7285285285285286,-1.17374435965014000,
0.7333333333333334,-1.17381705746154000,
0.7381381381381382,-1.17385756186662000,
0.7429429429429428,-1.17386685829324000,
0.7477477477477477,-1.17384590283533000,
0.7525525525525525,-1.17379562325467000,
0.7573573573573573,-1.17371691994244000,
0.7621621621621621,-1.17361066684426000,
0.766966967,-1.17347771234576000,
0.7717717717717718,-1.17331888012792000,
0.7765765765765766,-1.17313496998647000,
0.7813813813813815,-1.17292675861997000,
0.7861861861861861,-1.17269500039000000,
0.7909909909909909,-1.17244042804998000,
0.7957957957957957,-1.17216375344880000,
0.8006006006006006,-1.17186566820719000,
0.8054054054054054,-1.17154684436846000,
0.8102102102102102,-1.17120793502682000,
0.815015015,-1.17084957493075000,
0.8198198198198199,-1.17047238106600000,
0.8246246246246247,-1.17007695321591000,
0.8294294294294293,-1.16966387450279000,
0.8342342342342342,-1.16923371190855000,
