R_angstrom,E_FIC_aug-cc-pV5Z_hartree
1.6414414414414413,-0.5740650355875987
1.6462462462462462,-0.5737551132762182
1.651051051051051,-0.573445384455332
1.6558558558558558,-0.5731358658696116
1.6606606606606606,-0.5728265739394486
1.6654654654654653,-0.5725175247668515
1.67027027027027,-0.5722087341409827
1.675075075075075,-0.5719002175437962
1.6798798798798797,-0.5715919901554183
1.6846846846846846,-0.571284066859544
1.6894894894894894,-0.5709764622486362
1.6942942942942942,-0.5706691906290874
1.699099099099099,-0.5703622660262067
1.703903903903904,-0.570055702189196
1.7087087087087085,-0.5697495125960497
1.7135135135135133,-0.5694437104581003
1.7183183183183182,-0.5691383087248926
1.723123123123123,-0.5688333200886768
1.7279279279279278,-0.5685287569887942
1.7327327327327327,-0.5682246316162755
