R_angstrom,E_FIC_aug-cc-pV5Z_hartree
0.2,0.00547421066930287
0.2048048048048048,-0.0480335293406404
0.20960960960960962,-0.0986952815613153
0.21441441441441442,-0.146705527342937
0.21921921921921922,-0.192241779715556
0.22402402402402405,-0.235466394276042
0.22882882882882882,-0.276528149594554
0.23363363363363365,-0.315563638615375
0.23843843843843845,-0.352698487233416
0.24324324324324326,-0.388048431232899
0.24804804804804806,-0.421720269301567
0.25285285285285286,-0.453812705389399
0.2576576576576577,-0.484417099575183
0.26246246246246246,-0.513618134905908
0.2672672672672673,-0.541494414460666
0.27207207207207207,-0.56811899294636
0.2768768768768769,-0.593559856400184
0.2816816816816817,-0.617880350442886
0.2864864864864865,-0.641139566771472
0.2912912912912913,-0.663392692226287
0.2960960960960961,-0.684691322484517
0.30090090090090094,-0.705083748009413
0.3057057057057057,-0.724615211328499
0.3105105105105105,-0.743328141499629
0.3153153153153153,-0.761262367598409
0.32012012012012014,-0.778455312539469
0.3249249249249249,-0.794942170101014
0.32972972972972975,-0.810756065992237
0.3345345345345345,-0.825928206616164
0.33933933933933935,-0.840488013380696
0.3441441441441442,-0.854463247328173
0.34894894894894896,-0.867880122767522
0.35375375375375373,-0.880763411741676
0.35855855855855856,-0.893136540420082
0.3633633633633634,-0.905021677928479
0.36816816816816816,-0.916439822333167
0.37297297297297294,-0.927410776358137
0.37777777777777777,-0.937953689227043
0.3825825825825826,-0.948086120154696
0.3873873873873874,-0.957825221595413
0.3921921921921922,-0.967187119407963
0.396996997,-0.976187127846952
0.4018018018018018,-0.984839838968583
0.40660660660660664,-0.993159190780413
0.4114114114114114,-1.00115831054031
0.4162162162162162,-1.00884984829181
0.421021021,-1.01624577867496
0.42582582582582584,-1.02335754468855
0.4306306306306306,-1.03019605192419
0.43543543543543545,-1.03677170521139
0.4402402402402402,-1.04309446146332
0.44504504504504505,-1.04917380649822
0.4498498498498499,-1.05501881122428
0.45465465465465466,-1.06063815598935
0.4594594594594595,-1.06604013399679
0.46426426426426426,-1.07123268454308
0.4690690690690691,-1.07622340706912
0.47387387387387386,-1.08101957583083
0.4786786786786787,-1.08562816210478
0.48348348348348347,-1.09005584168194
0.4882882882882883,-1.09430901965855
0.49309309309309307,-1.0983938327266
0.4978978978978979,-1.10231616993727
0.5027027027027027,-1.10608168244932
0.5075075075075075,-1.10969579332545
0.5123123123123123,-1.11316371097248
0.5171171171171172,-1.11316371112222
0.521921922,-1.11649043750668
0.5267267267267267,-1.11968077874688
0.5315315315315315,-1.12273935359873
0.5363363363363363,-1.12567060258027
0.5411411411411411,-1.12847879571247
0.5459459459459459,-1.13116804066686
0.5507507507507508,-1.13374228982600
0.5555555555555556,-1.13620534732996
0.5603603603603604,-1.13856087557075
0.5651651651651652,-1.14081240163917
0.56996997,-1.14296332298353
0.5747747747747748,-1.14501691332309
0.5795795795795795,-1.14697632767289
0.5843843843843843,-1.14884460779767
0.5891891891891892,-1.15062468648901
0.593993994,-1.15231939266463
0.5987987987987988,-1.15393145539735
0.6036036036036037,-1.15546350786830
0.6084084084084084,-1.15691809205003
0.6132132132132132,-1.15829766124496
0.618018018,-1.15960458480412
0.6228228228228228,-1.16084115078189
0.6276276276276276,-1.16200956922819
0.6324324324324324,-1.16311197586273
0.6372372372372372,-1.16415043392795
0.6420420420420421,-1.16512693817961
0.6468468468468469,-1.16604341655726
0.6516516516516516,-1.16690173336842
0.6564564564564564,-1.16770369155338
0.6612612612612612,-1.16845103488023
0.666066066,-1.16914545027194
0.6708708708708708,-1.16978857022232
0.6756756756756757,-1.17038197423249
0.6804804804804805,-1.17092719160585
0.6852852852852853,-1.1714257022257
0.6900900900900901,-1.17187893969707
0.6948948948948949,-1.17228829154676
0.6996996996996997,-1.17265510249411
0.7045045045045044,-1.17298067481545
0.7093093093093092,-1.17326627027288
0.7141141141141141,-1.17351311164603
0.7189189189189189,-1.17372238414145
0.7237237237237237,-1.17389523658411
0.7285285285285286,-1.17403278274866
0.7333333333333334,-1.17413610251709
0.7381381381381382,-1.17420624338385
0.7429429429429428,-1.17424422125497
0.7477477477477477,-1.17425102161448
0.7525525525525525,-1.17422760044915
0.7573573573573573,-1.17417488577589
0.7621621621621621,-1.17409377771898
0.766966967,-1.17398515045724
0.7717717717717718,-1.17384985216661
0.7765765765765766,-1.1736887065005
0.7813813813813815,-1.17350251322863
0.7861861861861861,-1.17329204889883
0.7909909909909909,-1.17305806774387
0.7957957957957957,-1.17280130226795
0.8006006006006006,-1.1725224641998
0.8054054054054054,-1.17222224506572
0.8102102102102102,-1.17190131650651
0.815015015,-1.17156033146272
0.8198198198198199,-1.17119992437267
0.8246246246246247,-1.17042329349913
0.8294294294294293,-1.17000825190948
0.8342342342342342,-1.16957615378474
0.839039039,-1.16912755003309
0.8438438438438438,-1.16866297632789
0.8486486486486486,-1.16818295387779
0.8534534534534535,-1.16768798938198
0.8582582582582583,-1.16717857583078
0.8630630630630631,-1.16665519279618
0.867867868,-1.16611830685139
0.8726726726726726,-1.16556837202764
0.8774774774774774,-1.16500583003981
0.8822822822822822,-1.16443111084773
0.8870870870870871,-1.16384463286639
0.8918918918918919,-1.16324680333134
0.8966966966966967,-1.1626380187095
0.9015015015015015,-1.16201866492815
0.9063063063063064,-1.161389117707
0.911111111,-1.16074974290976
0.9159159159159158,-1.16010089677032
0.9207207207207206,-1.15944292619077
0.9255255255255255,-1.15877616902932
0.9303303303303303,-1.15810095433288
0.9351351351351351,-1.1574176026039
0.93993994,-1.15672642606433
0.9447447447447448,-1.15602772885351
0.9495495495495496,-1.15532180729169
0.9543543543543542,-1.15460895009515
0.9591591591591591,-1.15388943855906
0.9639639639639639,-1.15316354680049
0.9687687687687687,-1.15243154196587
0.9735735735735735,-1.15169368437306
0.9783783783783784,-1.15095022774819
0.9831831831831832,-1.15020141941786
0.987987988,-1.14944750044627
0.9927927927927929,-1.14868870579017
0.9975975975975975,-1.14792526455388
1.0024024024024023,-1.14715740003212
1.0072072072072071,-1.14638532998782
1.012012012012012,-1.14560926669555
1.0168168168168168,-1.1448294171326
1.0216216216216216,-1.1440459831614
1.0264264264264265,-1.14325916158534
1.0312312312312313,-1.1424691443333
1.0360360360360361,-1.14167611859339
1.0408408408408407,-1.14088026690653
1.0456456456456455,-1.14008176731502
1.0504504504504504,-1.13928079347401
1.0552552552552552,-1.13847751474597
1.06006006,-1.13767209635417
1.0648648648648649,-1.13686469944551
1.0696696696696697,-1.13605548121836
1.0744744744744745,-1.13524459503558
1.0792792792792794,-1.13443219049362
1.084084084084084,-1.13361841354572
1.0888888888888888,-1.13280340657771
1.0936936936936936,-1.13198730850898
1.0984984984984985,-1.13117025487803
1.1033033033033033,-1.13035237792283
1.1081081081081081,-1.12953380666757
1.112912912912913,-1.12871466700905
1.1177177177177178,-1.12789508178555
1.1225225225225224,-1.12707517085556
1.1273273273273272,-1.12625505117962
1.132132132132132,-1.12543483687806
1.1369369369369369,-1.12461463931312
1.1417417417417417,-1.1237945671502
1.1465465465465465,-1.12297472642743
1.1513513513513514,-1.1221552206132
1.1561561561561562,-1.12133615067655
1.160960960960961,-1.12051761514144
1.1657657657657656,-1.11969971014635
1.1705705705705705,-1.11888252950427
1.1753753753753753,-1.11806616475392
1.1801801801801801,-1.11725070521714
1.184984984984985,-1.11643623804481
1.1897897897897898,-1.11562284827816
1.1945945945945946,-1.11481061888802
1.1993993993993994,-1.11399963082434
1.204204204204204,-1.1131899630703
1.2090090090090089,-1.11238169267944
1.2138138138138137,-1.11157489482187
1.2186186186186185,-1.1107696428275
1.2234234234234234,-1.1099660082306
1.2282282282282282,-1.10916406080505
1.233033033033033,-1.1083638686066
1.2378378378378379,-1.10756549801156
