R_angstrom,E_FIC_aug-cc-pVQZ_hartree,,,,
0.2,0.830653009308429,,,,
0.2048048048048048,0.774600630400867,,,,
0.20960960960960962,0.721394153564327,,,,
0.21441441441441442,0.67084005797867,,,,
0.21921921921921922,0.622761732643113,,,,
0.22402402402402405,0.57699766959241,,,,
0.22882882882882882,0.533399884244785,,,,
0.23363363363363365,0.491832530242496,,,,
0.23843843843843845,0.4521706813975,,,,
0.24324324324324326,0.414299257673411,,,,
0.24804804804804806,0.378112075700385,,,,
0.25285285285285286,0.3435110072769,,,,
0.2576576576576577,0.310405231775049,,,,
0.26246246246246246,0.278710570423953,,,,
0.2672672672672673,0.248348892173232,,,,
0.27207207207207207,0.219247582292342,,,,
0.2768768768768769,0.191339066089193,,,,
0.2816816816816817,0.164560381172296,,,,
0.2864864864864865,0.138852792563726,,,,
0.2912912912912913,0.114161445723474,,,,
0.2960960960960961,0.0904350531881255,,,,
0.30090090090090094,0.0676256110773452,,,,
0.3057057057057057,0.045688142193307,,,,
0.3105105105105105,0.0245804628447987,,,,
0.3153153153153153,0.0042629708769475,,,,
0.32012012012012014,-0.0153015473094106,,,,
0.3249249249249249,-0.0341480927035908,,,,
0.32972972972972975,-0.0523096143231831,,,,
0.3345345345345345,-0.0698171560743641,,,,
0.33933933933933935,-0.0866999911915393,,,,
0.3441441441441442,-0.10298574546309,,,,
0.34894894894894896,-0.118700510317936,,,,
0.35375375375375373,-0.133868946731726,,,,
0.35855855855855856,-0.148514380809799,,,,
0.3633633633633634,-0.16265889181376,,,,
0.36816816816816816,-0.17632339331998,,,,
0.37297297297297294,-0.189527708125105,,,,
0.37777777777777777,-0.202290637457086,,,,
0.3825825825825826,-0.214630024992045,,,,
0.3873873873873874,-0.22656281611859,,,,
0.3921921921921922,-0.238105112866247,,,,
0.396996997,-0.249272224863811,,,,
0.4018018018018018,-0.260078716651358,,,,
0.40660660660660664,-0.270538451657071,,,,
0.4114114114114114,-0.28066463310538,,,,
0.4162162162162162,-0.290469842106384,,,,
0.421021021,-0.299966073149528,,,,
0.42582582582582584,-0.309164767208172,,,,
0.4306306306306306,-0.318076842641087,,,,
0.43543543543543545,-0.326712724052945,,,,
0.4402402402402402,-0.335082369288344,,,,
0.44504504504504505,-0.343195294675697,,,,
0.4498498498498499,-0.351060598666765,,,,
0.45465465465465466,-0.358686983987001,,,,
0.4594594594594595,-0.366082778402881,,,,
0.46426426426426426,-0.373255954204766,,,,
0.4690690690690691,-0.380214146503604,,,,
0.47387387387387386,-0.386964670411227,,,,
0.4786786786786787,-0.393514537202584,,,,
0.48348348348348347,-0.399870469508467,,,,
0.4882882882882883,-0.406038915619377,,,,
0.49309309309309307,-0.41202606295676,,,,
0.4978978978978979,-0.417837850763617,,,,
0.5027027027027027,-0.423479982075176,,,,
0.5075075075075075,-0.428957935006017,,,,
0.5123123123123123,-0.434276973406605,,,,
0.5171171171171172,-0.43944215692764,,,,
0.521921922,-0.444458350526645,,,,
0.5267267267267267,-0.449330233460531,,,,
0.5315315315315315,-0.454062307784058,,,,
0.5363363363363363,-0.458658906399895,,,,
0.5411411411411411,-0.463124200675293,,,,
0.5459459459459459,-0.467462207656765,,,,
0.5507507507507508,-0.471676796913459,,,,
0.5555555555555556,-0.475771697016978,,,,
0.5603603603603604,-0.479750501693486,,,,
0.5651651651651652,-0.483616675661406,,,,
0.56996997,-0.487373560171055,,,,
0.5747747747747748,-0.491024378268285,,,,
0.5795795795795795,-0.494572239793292,,,,
0.5843843843843843,-0.498020146133886,,,,
0.5891891891891892,-0.501370994742871,,,,
0.593993994,-0.504627583435513,,,,
0.5987987987987988,-0.507792614480904,,,,
0.6036036036036037,-0.510868698489931,,,,
0.6084084084084084,-0.513858358121616,,,,
0.6132132132132132,-0.516764031615746,,,,
0.618018018,-0.519588076149235,,,,
0.6228228228228228,-0.522332771044381,,,,
0.6276276276276276,-0.525000320822704,,,,
0.6324324324324324,-0.527592858119377,,,,
0.6372372372372372,-0.530112446462572,,,,
0.6420420420420421,-0.532561082927628,,,,
0.6468468468468469,-0.534940700673102,,,,
0.6516516516516516,-0.53725317135703,,,,
0.6564564564564564,-0.539500307455644,,,,
0.6612612612612612,-0.541683864471595,,,,
0.666066066,-0.543805543050827,,,,
0.6708708708708708,-0.545866991006962,,,,
0.6756756756756757,-0.547869805258355,,,,
0.6804804804804805,-0.549815533682617,,,,
0.6852852852852853,-0.551705676894487,,,,
0.6900900900900901,-0.553541689946403,,,,
0.6948948948948949,-0.555324983961188,,,,
0.6996996996996997,-0.557056927696182,,,,
0.7045045045045044,-0.558738849040447,,,,
0.7093093093093092,-0.560372036455091,,,,
0.7141141141141141,-0.561957740351453,,,,
0.7189189189189189,-0.563497174414568,,,,
0.7237237237237237,-0.564991516873854,,,,
0.7285285285285286,-0.566441911722248,,,,
0.7333333333333334,-0.567849469885794,,,,
0.7381381381381382,-0.569215270348559,,,,
0.7429429429429428,-0.570540361231452,,,,
0.7477477477477477,-0.571825760829776,,,,
0.7525525525525525,-0.573072458608738,,,,
0.7573573573573573,-0.574281416162911,,,,
0.7621621621621621,-0.575453568133924,,,,
0.766966967,-0.576589823099075,,,,
0.7717717717717718,-0.577691064419325,,,,
0.7765765765765766,-0.5787581510604,,,,
0.7813813813813815,-0.579791918379743,,,,
0.7861861861861861,-0.580793178884999,,,,
0.7909909909909909,-0.581762722963844,,,,
0.7957957957957957,-0.582701319586845,,,,
0.8006006006006006,-0.583609716984784,,,,
0.8054054054054054,-0.58448864329935,,,,
0.8102102102102102,-0.585338807213522,,,,
0.815015015,-0.586160898554448,,,,
0.8198198198198199,-0.586955588879665,,,,
0.8246246246246247,-0.58772353203804,,,,
0.8294294294294293,-0.588465364712607,,,,
0.8342342342342342,-0.589181706944813,,,,
0.839039039,-0.589873162639242,,,,
0.8438438438438438,-0.590540320050272,,,,
0.8486486486486486,-0.591183752253063,,,,
0.8534534534534535,-0.59180401759756,,,,
0.8582582582582583,-0.592401660146572,,,,
0.8630630630630631,-0.592977210099094,,,,
0.867867868,-0.593531184199823,,,,
0.8726726726726726,-0.594064086132766,,,,
0.8774774774774774,-0.594576406904851,,,,
0.8822822822822822,-0.595068625212902,,,,
0.8870870870870871,-0.595541207801586,,,,
0.8918918918918919,-0.595994609807099,,,,
0.8966966966966967,-0.596429275090106,,,,
0.9015015015015015,-0.596845636559506,,,,
0.9063063063063064,-0.597244116482362,,,,
0.911111111,-0.597625126785892,,,,
0.9159159159159158,-0.597989069349569,,,,
0.9207207207207206,-0.598336336286362,,,,
0.9255255255255255,-0.598667310216393,,,,
0.9303303303303303,-0.598982364531183,,,,
0.9351351351351351,-0.599281863649301,,,,
0.93993994,-0.599566163263904,,,,
0.9447447447447448,-0.599835610582613,,,,
0.9495495495495496,-0.600090544559854,,,,
0.9543543543543542,-0.600331296121479,,,,
0.9591591591591591,-0.600558188383366,,,,
0.9639639639639639,-0.600771536861099,,,,
0.9687687687687687,-0.60097164967581,,,,
0.9735735735735735,-0.601158827751938,,,,
0.9783783783783784,-0.601333365008425,,,,
0.9831831831831832,-0.601495548546375,,,,
0.987987988,-0.601645658828271,,,,
0.9927927927927929,-0.60178396985386,,,,
0.9975975975975975,-0.601910749328948,,,,
1.0024024024024023,-0.602026258830677,,,,
