Gv (cm^-1),Variable,Value
19949.15359585223,re,1.0568852631377337
19949.15359585223,r0,1.0712783754518085
19949.15359585223,we,2323.630396968459
19949.15359585223,wexe,66.87665996736271
19949.15359585223,nu,2189.8770770337337
19949.15359585223,E(re),-0.6026226672774563
19949.15359585223,ZPVE(harmonic),1161.8151984842295
19949.15359585223,ZPVE(anharmonic),1145.0960334923889
19949.15359585223,Be,29.949230366802844
19949.15359585223,B0,29.14987347714158
19949.15359585223,ae,1.5987137793225303
19949.15359585223,De,0.01990136625173551
19949.15359585223,,
19949.15359585223,,
19949.15359585223,,
19949.15359585223,,
