R_angstrom,E_FIC_aug-cc-pVTZ_hartree
0.2,0.8377942751035512
0.2241206030150754,0.5821239168298513
0.24824120603015076,0.38176533671878343
0.2723618090452261,0.2218041720088033
0.2964824120603015,0.0921694130086228
0.3206030150753769,-0.014182433871443356
0.34472361809045227,-0.10232375843743191
0.3688442211055276,-0.1759979315690623
0.392964824120603,-0.23802466411499235
0.4170854271356784,-0.2905650040033174
0.44120603015075377,-0.33530014550536436
0.4653266331658292,-0.3735553916781793
0.4894472361809045,-0.4063879957412284
0.5135678391959799,-0.43465050745971334
0.5376884422110553,-0.45903713128509926
0.5618090452261306,-0.48011810630635343
0.585929648241206,-0.4983655321070871
0.6100502512562813,-0.5141730168388939
0.6341708542713568,-0.5278708127858011
0.6582914572864322,-0.5397376148789287
0.6824120603015076,-0.5500098580461855
0.7065326633165829,-0.5588891134932314
0.7306532663316583,-0.5665480202736869
0.7547738693467336,-0.5731350745280698
0.778894472361809,-0.57877851884393
0.8030150753768843,-0.5835895173570534
0.8271356783919597,-0.5876647609501048
0.8512562814070352,-0.5910886161519912
0.8753768844221106,-0.593934907785146
0.8994974874371859,-0.5962684068977329
0.9236180904522613,-0.5981460807157565
0.9477386934673366,-0.5996181494036738
0.971859296482412,-0.6007289848029335
0.9959798994974873,-0.6015178786510453
1.0201005025125627,-0.602019701785633
1.0442211055276382,-0.602265471250111
1.0683417085427136,-0.6022828387911712
1.092462311557789,-0.6020965117380801
1.1165829145728643,-0.6017286154492447
1.1407035175879396,-0.6011990052063861
1.164824120603015,-0.600525534460203
1.1889447236180903,-0.5997242855545633
1.2130653266331657,-0.5988097683887241
1.237185929648241,-0.5977950918620553
1.2613065326633166,-0.596692112354725
1.285427135678392,-0.5955115629271989
1.3095477386934673,-0.5942631663729453
1.3336683417085426,-0.5929557347475432
1.357788944723618,-0.5915972575332187
1.3819095477386933,-0.5901949801903357
1.4060301507537687,-0.5887554745012951
1.430150753768844,-0.587284701827153
1.4542713567839194,-0.5857880701695732
1.478391959798995,-0.5842704857540859
1.5025125628140703,-0.582736399716804
1.5266331658291457,-0.5811898503778188
1.550753768844221,-0.5796345015129627
1.5748743718592964,-0.578073676983541
1.5989949748743717,-0.5765103920466098
1.623115577889447,-0.5749473816398774
1.6472361809045226,-0.5733871259144527
1.671356783919598,-0.5718318732690324
1.6954773869346733,-0.5702836611231262
1.7195979899497487,-0.5687443346496501
1.743718592964824,-0.56721556367083
1.7678391959798994,-0.5656988579038988
1.7919597989949747,-0.5641955807259529
1.81608040201005,-0.5627069616100648
1.8402010050251254,-0.5612341073681665
1.864321608040201,-0.5597780123210865
1.8884422110552763,-0.5583395675020959
1.9125628140703517,-0.5569195689882671
1.936683417085427,-0.5555187254437485
1.9608040201005024,-0.5541376649504461
1.9849246231155777,-0.5527769411947421
2.0090452261306533,-0.551437039073218
2.033165829145729,-0.5501183797755589
2.057286432160804,-0.5488213253987981
2.0814070351758795,-0.5475461831434423
2.1055276381909547,-0.5462932091383276
2.1296482412060302,-0.5450626119376057
2.1537688442211054,-0.5438545557296193
2.177889447236181,-0.5426691632937244
2.2020100502512565,-0.5415065187371871
2.2261306532663316,-0.5403666700406667
2.250251256281407,-0.5392496314368752
2.2743718592964823,-0.538155385643422
2.298492462311558,-0.5370838859674683
2.3226130653266335,-0.5360350582966011
2.3467336683417086,-0.5350088029877597
2.370854271356784,-0.5340049966632079
2.3949748743718593,-0.533023493920935
2.419095477386935,-0.5320641289648742
2.44321608040201,-0.5311267171590192
2.4673366834170856,-0.5302110565087383
2.4914572864321607,-0.5293169290714174
2.5155778894472363,-0.5284441022986863
2.539698492462312,-0.5275923303115846
2.563819095477387,-0.5267613551103703
2.5879396984924625,-0.5259509077205573
2.6120603015075377,-0.5251607092766851
2.636180904522613,-0.5243904720457576
2.6603015075376883,-0.5236399003922866
2.684422110552764,-0.5229086916870018
2.708542713567839,-0.5221965371616503
2.7326633165829146,-0.5215031227121828
2.75678391959799,-0.520828129652992
2.7809045226130653,-0.5201712354246248
2.805025125628141,-0.5195321142577554
2.829145728643216,-0.5189104377958416
2.8532663316582916,-0.5183058756791007
2.8773869346733667,-0.5177180960922844
2.9015075376884423,-0.5171467662785217
2.925628140703518,-0.5165915530214946
2.949748743718593,-0.5160521230980971
2.9738693467336685,-0.5155281437034062
2.9979899497487437,-0.5150192828498504
3.0221105527638192,-0.514525209742105
3.0462311557788944,-0.5140455951292415
3.07035175879397,-0.5135801116354348
3.0944723618090455,-0.5131284340703727
3.1185929648241206,-0.5126902397204257
3.142713567839196,-0.5122652086214609
3.1668341708542713,-0.5118530238140933
3.190954773869347,-0.5114533715821288
3.215075376884422,-0.5110659416746921
3.2391959798994976,-0.5106904275126489
3.2633165829145727,-0.5103265263798122
3.2874371859296483,-0.5099739395992323
3.311557788944724,-0.5096323726950935
3.335678391959799,-0.509301535540476
3.3597989949748746,-0.5089811424913503
3.3839195979899497,-0.5086709125071199
3.4080402010050252,-0.5083705692581024
3.4321608040201004,-0.5080798412201366
3.456281407035176,-0.5077984617568692
3.480402010050251,-0.5075261691899212
3.5045226130653266,-0.5072627068573272
3.528643216080402,-0.5070078231607771
3.5527638190954773,-0.5067612716019453
3.576884422110553,-0.5065228108083824
3.601005025125628,-0.5062922045494854
3.6251256281407036,-0.5060692217429986
3.6492462311557787,-0.5058536364524537
3.6733668341708543,-0.5056452278762007
3.69748743718593,-0.5054437803284543
3.721608040201005,-0.5052490832128478
3.7457286432160806,-0.5050609309890705
3.7698492462311557,-0.5048791231331252
