R_angstrom,E_UHF_cc-pVTZ_Eh
0.2,0.8388858779693114
0.2383838383838384,0.4585866795824266
0.2767676767676768,0.19632172114130597
0.3151515151515152,0.008174628994529587
0.35353535353535354,-0.13073415084932338
0.3919191919191919,-0.23553111247855663
0.4303030303030303,-0.31591536532165915
0.46868686868686865,-0.37836536786617087
0.507070707070707,-0.42735317182566335
0.5454545454545454,-0.4660526571412336
0.5838383838383838,-0.49677048160323506
0.6222222222222222,-0.5212172682986917
0.6606060606060606,-0.5406835795251639
0.698989898989899,-0.5561575004186821
0.7373737373737372,-0.5684053280420807
0.7757575757575756,-0.5780282033153699
0.814141414141414,-0.5855025868150114
0.8525252525252525,-0.5912096238971275
0.8909090909090909,-0.5954567403810447
0.9292929292929293,-0.598493741479936
0.9676767676767677,-0.6005249792616968
1.006060606060606,-0.6017186680956843
1.0444444444444443,-0.6022140923085064
1.0828282828282827,-0.6021272242563995
1.121212121212121,-0.6015551235812044
1.1595959595959595,-0.6005793938146602
1.197979797979798,-0.599268910051196
1.2363636363636363,-0.5976819865846759
1.2747474747474745,-0.5958681176649545
1.313131313131313,-0.593869393986993
1.3515151515151513,-0.5917216711482596
1.3898989898989897,-0.5894555443724261
1.4282828282828282,-0.5870971668156497
1.4666666666666666,-0.5846689369167213
1.505050505050505,-0.582190073117625
1.5434343434343434,-0.579677090907855
1.5818181818181818,-0.5771441962185856
1.62020202020202,-0.5746036093327921
1.6585858585858584,-0.5720658335304432
1.6969696969696968,-0.5695398819277853
1.7353535353535352,-0.5670334741591028
1.7737373737373736,-0.5645532118634706
1.812121212121212,-0.5621047388053366
1.8505050505050504,-0.5596928883785264
1.8888888888888886,-0.5573218186549653
1.927272727272727,-0.5549951333366316
1.9656565656565654,-0.5527159860830817
2.004040404040404,-0.5504871657011485
2.0424242424242425,-0.5483111604625983
2.080808080808081,-0.5461902011402808
2.1191919191919193,-0.5441262839494635
2.1575757575757577,-0.542121176158586
2.195959595959596,-0.540176408424489
2.2343434343434345,-0.5382932587060923
2.272727272727273,-0.5364727328089329
2.3111111111111113,-0.5347155462129352
2.3494949494949493,-0.5330221109433656
2.3878787878787877,-0.5313925300389467
2.426262626262626,-0.5298266008611918
2.4646464646464645,-0.5283238272694815
2.503030303030303,-0.5268834397033288
2.5414141414141413,-0.5255044215456064
2.5797979797979798,-0.5241855398026175
2.618181818181818,-0.5229253780903949
2.6565656565656566,-0.5217223700911787
2.694949494949495,-0.5205748319600696
2.7333333333333334,-0.5194809925418442
2.771717171717172,-0.5184390206427293
2.81010101010101,-0.5174470489482956
2.8484848484848486,-0.5165031944638345
2.886868686868687,-0.5156055755688608
2.9252525252525254,-0.5147523259245597
2.963636363636364,-0.5139416055614976
3.002020202020202,-0.5131716095155259
3.04040404040404,-0.5124405743855075
3.0787878787878786,-0.5117467831677227
3.117171717171717,-0.5110885686886478
3.1555555555555554,-0.5104643159168201
3.193939393939394,-0.5098724633915253
3.2323232323232323,-0.5093115039643163
3.2707070707070707,-0.5087799850114163
3.309090909090909,-0.5082765082416423
3.3474747474747475,-0.5077997291964289
3.385858585858586,-0.5073483565154645
3.4242424242424243,-0.5069211510232055
3.4626262626262627,-0.5065169246772475
3.501010101010101,-0.5061345394090804
3.5393939393939395,-0.5057729058798739
3.5777777777777775,-0.5054309821686125
3.616161616161616,-0.5051077724061583
3.6545454545454543,-0.5048023253665074
3.6929292929292927,-0.5045137330250783
3.731313131313131,-0.5042411290929838
3.7696969696969695,-0.5039836875357577
3.808080808080808,-0.5037406210847997
3.8464646464646464,-0.5035111797493967
3.8848484848484848,-0.5032946493370186
3.923232323232323,-0.503090349989144
3.9616161616161616,-0.5028976347393225
4.0,-0.5027158880996901
