R_angstrom,E_RHF_cc-pVTZ_Eh
0.2,0.05824823848063787
0.2383838383838384,-0.302997233273681
0.2767676767676768,-0.5463298174036303
0.3151515151515152,-0.7159481288509866
0.35353535353535354,-0.8369061853612954
0.3919191919191919,-0.9244271268935682
0.4303030303030303,-0.988253237644908
0.46868686868686865,-1.0348727012907877
0.507070707070707,-1.0687486676930926
0.5454545454545454,-1.0930368115135547
0.5838383838383838,-1.1100211931720132
0.6222222222222222,-1.1213875849117403
0.6606060606060606,-1.1284002229964516
0.698989898989899,-1.1320197180424818
0.7373737373737372,-1.1329840631620893
0.7757575757575756,-1.1318657016573446
0.814141414141414,-1.1291125103014097
0.8525252525252525,-1.1250776463692704
0.8909090909090909,-1.1200415208712453
0.9292929292929293,-1.1142281374963017
0.9676767676767677,-1.1078173717632471
1.006060606060606,-1.100954304185737
1.0444444444444443,-1.0937563924346776
1.0828282828282827,-1.0863190344851945
1.121212121212121,-1.0787199141596644
1.1595959595959595,-1.0710224127049162
1.197979797979798,-1.0632782980899969
1.2363636363636363,-1.0555298542992726
1.2747474747474745,-1.0478115769614527
1.313131313131313,-1.0401515338313885
1.3515151515151513,-1.0325724661883804
1.3898989898989897,-1.0250926889166023
1.4282828282828282,-1.0177268323874453
1.4666666666666666,-1.010486457967973
1.505050505050505,-1.0033805706870107
1.5434343434343434,-0.9964160468254649
1.5818181818181818,-0.9895979903817707
1.62020202020202,-0.9829300298932951
1.6585858585858584,-0.9764145654261884
1.6969696969696968,-0.970052974264433
1.7353535353535352,-0.9638457826757474
1.7737373737373736,-0.9577928099930979
1.812121212121212,-0.9518932901200192
1.8505050505050504,-0.9461459744948056
1.8888888888888886,-0.9405492195998236
1.927272727272727,-0.9351010613277232
1.9656565656565654,-0.9297992779414863
2.004040404040404,-0.9246414429853089
2.0424242424242425,-0.9196249692907105
2.080808080808081,-0.9147471451351947
2.1191919191919193,-0.9100051635991371
2.1575757575757577,-0.9053961461837909
2.195959595959596,-0.9009171617583966
2.2343434343434345,-0.8965652418697152
2.272727272727273,-0.8923373933605152
2.3111111111111113,-0.8882306091059877
2.3494949494949493,-0.884241877503432
2.3878787878787877,-0.8803681911615978
2.426262626262626,-0.8766065550550954
2.4646464646464645,-0.8729539942554849
2.503030303030303,-0.8694075612363797
2.5414141414141413,-0.865964342679879
2.5797979797979798,-0.8626214656824054
2.618181818181818,-0.8593761032621776
2.6565656565656566,-0.8562254790963267
2.694949494949495,-0.8531668714536446
2.7333333333333334,-0.8501976163284326
2.771717171717172,-0.8473151098165892
2.81010101010101,-0.8445168098017952
2.8484848484848486,-0.8418002370369033
2.886868686868687,-0.8391629757129477
2.9252525252525254,-0.8366026736073188
2.963636363636364,-0.8341170418958089
3.002020202020202,-0.8317038547021822
3.04040404040404,-0.8293609484461897
3.0787878787878786,-0.8270862210373695
3.117171717171717,-0.8248776309499868
3.1555555555555554,-0.8227331962033564
3.193939393939394,-0.8206509932635042
3.2323232323232323,-0.8186291558754213
3.2707070707070707,-0.8166658738312383
3.309090909090909,-0.8147593916770374
3.3474747474747475,-0.812908007360499
3.385858585858586,-0.8111100708218193
3.4242424242424243,-0.8093639825318336
3.4626262626262627,-0.8076681919827735
3.501010101010101,-0.8060211961392958
3.5393939393939395,-0.8044215378590178
3.5777777777777775,-0.8028678042935091
3.616161616161616,-0.8013586252818161
3.6545454545454543,-0.7998926717492056
3.6929292929292927,-0.7984686541239465
3.731313131313131,-0.7970853207849279
3.7696969696969695,-0.795741456551322
3.808080808080808,-0.7944358812252414
3.8464646464646464,-0.7931674481960908
3.8848484848484848,-0.7919350431139722
3.923232323232323,-0.7907375826375539
3.9616161616161616,-0.7895740132598934
4.0,-0.7884433102140649
