R_angstrom,E_CCSD_cc-pVTZ_Eh
0.2,0.02166945389771073
0.2383838383838384,-0.33976344630172783
0.2767676767676768,-0.583242825856814
0.3151515151515152,-0.7529799039568817
0.35353535353535354,-0.8740420313834751
0.3919191919191919,-0.9616645590320111
0.4303030303030303,-1.0256007223267578
0.46868686868686865,-1.072348289701089
0.507070707070707,-1.1063782745928055
0.5454545454545454,-1.1308524791636003
0.5838383838383838,-1.1480597430506196
0.6222222222222222,-1.1596897113665792
0.6606060606060606,-1.1670099607454512
0.698989898989899,-1.1709842809784794
0.7373737373737372,-1.1723539047724898
0.7757575757575756,-1.171694527826935
0.814141414141414,-1.1694571085657484
0.8525252525252525,-1.1659975673724778
0.8909090909090909,-1.161598732967503
0.9292929292929293,-1.1564867750669083
0.9676767676767677,-1.1508436391572114
1.006060606060606,-1.1448165295621522
1.0444444444444443,-1.1385251887218886
1.0828282828282827,-1.1320675139754819
1.121212121212121,-1.1255238985186389
1.1595959595959595,-1.1189605883235785
1.197979797979798,-1.1124322939983553
1.2363636363636363,-1.1059842419542656
1.2747474747474745,-1.0996537937804904
1.313131313131313,-1.0934717281973687
1.3515151515151513,-1.0874632603568075
1.3898989898989897,-1.081648857493329
1.4282828282828282,-1.0760448966153404
1.4666666666666666,-1.0706641985126684
1.505050505050505,-1.0655164644194686
1.5434343434343434,-1.0606086359143627
1.5818181818181818,-1.055945194781514
1.62020202020202,-1.0515284168568038
1.6585858585858584,-1.047358591727051
1.6969696969696968,-1.0434342184953234
1.7353535353535352,-1.0397521856299055
1.7737373737373736,-1.0363079414078333
1.812121212121212,-1.0330956593407388
1.8505050505050504,-1.0301084012263921
1.8888888888888886,-1.0273382788491903
1.927272727272727,-1.0247766140681294
1.9656565656565654,-1.0224140960654942
2.004040404040404,-1.0202409336838587
2.0424242424242425,-1.0182470010418743
2.080808080808081,-1.0164219741630895
2.1191919191919193,-1.0147554568761832
2.1575757575757577,-1.0132370946040326
2.195959595959596,-1.0118566751245097
2.2343434343434345,-1.0106042158566426
2.272727272727273,-1.0094700376445753
2.3111111111111113,-1.0084448253586915
2.3494949494949493,-1.0075196758532212
2.3878787878787877,-1.0066861344991171
2.426262626262626,-1.0059362198922186
2.4646464646464645,-1.0052624400788965
2.503030303030303,-1.0046577988612608
2.5414141414141413,-1.0041157950567368
2.5797979797979798,-1.00363041505401
2.618181818181818,-1.0031961199530726
2.6565656565656566,-1.0028078283173179
2.694949494949495,-1.002460895523526
2.7333333333333334,-1.0021510906152638
2.771717171717172,-1.0018745714701425
2.81010101010101,-1.0016278589957226
2.8484848484848486,-1.0014078109616973
2.886868686868687,-1.001211596025901
2.9252525252525254,-1.0010366680753005
2.963636363636364,-1.0008807419384806
3.002020202020202,-1.0007417697305587
3.04040404040404,-1.0006179187457809
3.0787878787878786,-1.0005075507132069
3.117171717171717,-1.000409202528291
3.1555555555555554,-1.0003215684810036
3.193939393939394,-1.0002434839675647
3.2323232323232323,-1.0001739106461636
3.2707070707070707,-1.0001119229769728
3.309090909090909,-1.0000566960716015
3.3474747474747475,-1.0000074947680513
3.385858585858586,-0.9999636638391726
3.4242424242424243,-0.9999246192652355
3.4626262626262627,-0.9998898403592514
3.501010101010101,-0.9998588629550069
3.5393939393939395,-0.9998312730662918
3.5777777777777775,-0.9998067015471718
3.616161616161616,-0.9997848193652779
3.6545454545454543,-0.9997653324966328
3.6929292929292927,-0.9997479794875377
3.731313131313131,-0.999732526688854
3.7696969696969695,-0.9997187658018774
3.808080808080808,-0.9997065115173498
3.8464646464646464,-0.9996955981000275
3.8848484848484848,-0.9996858782299629
3.923232323232323,-0.9996772204566018
3.9616161616161616,-0.9996695082026571
4.0,-0.9996626369453367
