R_angstrom,E_UHF_aug-cc-pV5Z_Eh
0.2,0.8306530093084274
0.2096192384769539,0.7212902520611415
0.21923847695390783,0.6225737934959559
0.22885771543086172,0.5331440439039618
0.23847695390781565,0.4518601318543797
0.24809619238476954,0.37775766226250074
0.25771543086172344,0.3100159143485798
0.26733466933867733,0.2479321047157106
0.2769539078156313,0.19090099923651715
0.2865731462925852,0.1383986176905232
0.2961923847695391,0.08996910138851899
0.305811623246493,0.04521404825406283
0.3154308617234469,0.003783789842328744
0.3250501002004008,-0.0346297905865125
0.3346693386773547,-0.07029920758169472
0.3442885771543086,-0.10346633034635422
0.3539078156312625,-0.1343465347084134
0.3635270541082164,-0.16313219848648863
0.37314629258517035,-0.18999565816223152
0.38276553106212424,-0.21509172124713272
0.3923847695390782,-0.23855981037627322
0.4020040080160321,-0.2605258006685505
0.411623246492986,-0.28110360046813754
0.4212424849699399,-0.3003965164518948
0.4308617234468938,-0.31849843672521855
0.44048096192384767,-0.3354948597067119
0.4501002004008016,-0.3514637917883447
0.4597194388777555,-0.36647653292476495
0.4693386773547094,-0.3805983661427874
0.4789579158316633,-0.3938891644002098
0.48857715430861726,-0.40640392609985343
0.49819639278557115,-0.41819324883168163
0.507815631262525,-0.42930374947161665
0.5174348697394789,-0.4397784375724727
0.5270541082164328,-0.4496570479682426
0.5366733466933868,-0.45897633769029206
0.5462925851703406,-0.4677703515634808
0.5559118236472946,-0.47607066026929556
0.5655310621242484,-0.48390657412809573
0.5751503006012024,-0.4913053354254028
0.5847695390781563,-0.49829229172892087
0.5943887775551102,-0.5048910523252471
0.6040080160320641,-0.5111236296225964
0.613627254509018,-0.5170105671444359
0.623246492985972,-0.5225710555472951
0.6328657314629258,-0.5278230379206249
0.6424849699398798,-0.5327833055003242
0.6521042084168336,-0.5374675848024375
0.6617234468937876,-0.5418906170645692
0.6713426853707415,-0.5460662308016951
0.6809619238476954,-0.5500074081715098
0.6905811623246493,-0.5537263457653459
0.7002004008016032,-0.5572345103759209
0.7098196392785572,-0.5605426902061041
0.719438877755511,-0.5636610419461172
0.729058116232465,-0.5665991340909513
0.7386773547094188,-0.5693659868301564
0.7482965931863728,-0.5719701088128646
0.7579158316633265,-0.5744195310614881
0.7675350701402806,-0.5767218382804671
0.7771543086172346,-0.5788841977875268
0.7867735470941883,-0.5809133862719769
0.7963927855711423,-0.5828158145642814
0.8060120240480961,-0.5845975505893825
0.8156312625250501,-0.5862643406555401
0.8252505010020039,-0.5878216292159166
0.8348697394789579,-0.5892745772314542
0.8444889779559117,-0.5906280792471712
0.8541082164328657,-0.5918867792863605
0.8637274549098197,-0.5930550856543135
0.8733466933867735,-0.5941371847407247
0.8829659318637275,-0.5951370538931254
0.8925851703406813,-0.5960584734359125
0.9022044088176353,-0.5969050378986043
0.9118236472945891,-0.5976801665100209
0.9214428857715431,-0.5983871130142255
0.9310621242484969,-0.5990289748586368
0.9406813627254509,-0.5996087017963752
0.9503006012024049,-0.6001291039472283
0.9599198396793587,-0.600592859354642
0.9695390781563127,-0.6010025210744163
0.9791583166332665,-0.6013605238278449
0.9887775551102205,-0.6016691902483382
0.9983967935871743,-0.6019307367510129
1.0080160320641283,-0.6021472790502405
1.017635270541082,-0.6023208373488167
1.027254509018036,-0.6024533412210265
1.03687374749499,-0.6025466342106733
1.0464929859719438,-0.6026024781613181
1.0561122244488979,-0.6026225572988526
1.0657314629258516,-0.6026084820807291
1.0753507014028056,-0.6025617928270113
1.0849699398797594,-0.6024839631486396
1.0945891783567134,-0.6023764031848854
1.1042084168336672,-0.6022404626620854
1.1138276553106212,-0.6020774337853497
1.123446893787575,-0.6018885539735599
1.133066132264529,-0.6016750084470397
1.142685370741483,-0.6014379326773485
1.1523046092184368,-0.6011784147070636
1.1619238476953908,-0.6008974973481611
1.1715430861723446,-0.6005961802655249
1.1811623246492986,-0.6002754219526265
1.1907815631262524,-0.5999361416058093
1.2004008016032064,-0.5995792209028521
1.2100200400801602,-0.5992055056913181
1.2196392785571142,-0.5988158075923022
1.229258517034068,-0.5984109055233306
1.238877755511022,-0.597991547146134
1.2484969939879758,-0.5975584502421498
1.2581162324649298,-0.5971123040209364
1.2677354709418838,-0.5966537703642818
1.2773547094188376,-0.5961834850095471
1.2869739478957916,-0.5957020586759025
1.2965931863727453,-0.5952100781359997
1.3062124248496993,-0.5947081072358267
1.3158316633266531,-0.5941966878665006
1.3254509018036071,-0.5936763408881882
1.335070140280561,-0.5931475670116841
1.344689378757515,-0.592610847636809
1.354308617234469,-0.5920666456519762
1.3639278557114227,-0.5915154061955832
1.3735470941883767,-0.5909575573821598
1.3831663326653305,-0.5903935109940609
1.3927855711422845,-0.589823663141349
1.4024048096192383,-0.5892483948909637
1.4120240480961923,-0.5886680728669385
1.421643286573146,-0.5880830498232074
1.4312625250501,-0.5874936651902307
1.440881763527054,-0.586900245597085
1.4505010020040079,-0.5863031053701777
1.460120240480962,-0.5857025470096874
1.4697394789579157,-0.5850988616448939
1.4793587174348697,-0.5844923294699814
1.4889779559118235,-0.5838832201606152
1.4985971943887775,-0.583271793272939
1.5082164328657313,-0.582658298625141
1.5178356713426853,-0.5820429766635404
1.5274549098196393,-0.5814260588129689
1.537074148296593,-0.5808077678125491
1.546693386773547,-0.5801883180379921
1.5563126252505008,-0.5795679158104372
1.5659318637274549,-0.5789467596930131
1.5755511022044086,-0.578325040775088
1.5851703406813626,-0.5777029429454223
1.5947895791583164,-0.5770806431543823
1.6044088176352704,-0.5764583116653943
1.6140280561122244,-0.5758361122970317
1.6236472945891782,-0.5752142026549957
1.6332665330661322,-0.5745927343553299
1.642885771543086,-0.5739718532387141
1.65250501002004,-0.573351699576476
1.6621242484969938,-0.5727324082685127
1.6717434869739478,-0.5721141090335724
1.6813627254509016,-0.5714969265921273
1.6909819639278556,-0.5708809808421801
1.7006012024048096,-0.5702663870282942
1.7102204408817634,-0.5696532559041789
1.7198396793587174,-0.5690416938888407
