R_angstrom,E_CCSD_aug-cc-pVQZ_Eh
0.2,0.0069762380748417605
0.2096192384769539,-0.09730483840647755
0.21923847695390783,-0.19094762663514858
0.22885771543086172,-0.2753193093990649
0.23847695390781565,-0.35156726325299226
0.24809619238476954,-0.4206613140134898
0.25771543086172344,-0.4834266273917603
0.26733466933867733,-0.5405691158236162
0.2769539078156313,-0.5926976819019505
0.2865731462925852,-0.6403379611818684
0.2961923847695391,-0.6839477202951076
0.305811623246493,-0.7239264154336106
0.3154308617234469,-0.7606247980849052
0.3250501002004008,-0.7943519832908146
0.3346693386773547,-0.8253814145166398
0.3442885771543086,-0.8539558217938037
0.3539078156312625,-0.8802913727816486
0.3635270541082164,-0.9045811656605858
0.37314629258517035,-0.9269981818834037
0.38276553106212424,-0.9476977940854885
0.3923847695390782,-0.9668199062978324
0.4020040080160321,-0.9844907888609554
0.411623246492986,-1.0008246586255751
0.4212424849699399,-1.0159250455522537
0.4308617234468938,-1.0298859792580177
0.44048096192384767,-1.0427930229479692
0.4501002004008016,-1.0547241773425278
0.4597194388777555,-1.065750673191374
0.4693386773547094,-1.0759376678731167
0.4789579158316633,-1.085344858895867
0.48857715430861726,-1.0940270251498216
0.49819639278557115,-1.10203450511655
0.507815631262525,-1.10941362010262
0.5174348697394789,-1.1162070497271726
0.5270541082164328,-1.1224541662031753
0.5366733466933868,-1.1281913331937035
0.5462925851703406,-1.1334521741490104
0.5559118236472946,-1.1382678139820341
0.5655310621242484,-1.142667096969562
0.5751503006012024,-1.1466767831359752
0.5847695390781563,-1.1503217249450022
0.5943887775551102,-1.1536250262254852
0.6040080160320641,-1.1566081851953325
0.613627254509018,-1.1592912234769324
0.623246492985972,-1.1616928028956648
0.6328657314629258,-1.163830331638367
0.6424849699398798,-1.1657200610562721
0.6521042084168336,-1.1673771741667993
0.6617234468937876,-1.1688158666839426
0.6713426853707415,-1.170049421256948
0.6809619238476954,-1.1710902754837071
0.6905811623246493,-1.171950084227115
0.7002004008016032,-1.172639776705904
0.7098196392785572,-1.1731696088004453
0.719438877755511,-1.1735492110105246
0.729058116232465,-1.173787632439464
0.7386773547094188,-1.1738933811842625
0.7482965931863728,-1.173874461453496
0.7579158316633265,-1.1737384077184034
0.7675350701402806,-1.1734923161783173
0.7771543086172346,-1.1731428737829859
0.7867735470941883,-1.172696385035209
0.7963927855711423,-1.1721587967789147
0.8060120240480961,-1.1715357211470223
0.8156312625250501,-1.1708324568277322
0.8252505010020039,-1.1700540087906786
0.8348697394789579,-1.1692051065991111
0.8444889779559117,-1.168290221421811
0.8541082164328657,-1.1673135818380798
0.8637274549098197,-1.1662791885384824
0.8733466933867735,-1.1651908279971301
0.8829659318637275,-1.1640520851949525
0.8925851703406813,-1.1628663554670275
0.9022044088176353,-1.1616368555336436
0.9118236472945891,-1.1603666338259704
0.9214428857715431,-1.1590585799201278
0.9310621242484969,-1.1577154337482247
0.9406813627254509,-1.1563397938785815
0.9503006012024049,-1.1549341255389856
0.9599198396793587,-1.1535007682462883
0.9695390781563127,-1.1520419430749294
0.9791583166332665,-1.1505597598279798
0.9887775551102205,-1.1490562231452761
0.9983967935871743,-1.1475332384296333
1.0080160320641283,-1.145992616787411
1.017635270541082,-1.1444360795139459
1.027254509018036,-1.14286526239185
1.03687374749499,-1.1412817199839935
1.0464929859719438,-1.1396869299302745
1.0561122244488979,-1.138082297136698
1.0657314629258516,-1.136469157750814
1.0753507014028056,-1.1348487829216556
1.0849699398797594,-1.1332223820900977
1.0945891783567134,-1.1315911064430286
1.1042084168336672,-1.1299560517452119
1.1138276553106212,-1.1283182611827658
1.123446893787575,-1.126678727993317
1.133066132264529,-1.1250383979404208
1.142685370741483,-1.1233981716428036
1.1523046092184368,-1.1217589067694405
1.1619238476953908,-1.1201214201091374
1.1715430861723446,-1.1184864895228923
1.1811623246492986,-1.1168548557846754
1.1907815631262524,-1.115227224319486
1.2004008016032064,-1.1136042668431867
1.2100200400801602,-1.1119866229108126
1.2196392785571142,-1.1103749013791062
1.229258517034068,-1.1087696817873312
1.238877755511022,-1.1071715156635447
1.2484969939879758,-1.1055809277577977
1.2581162324649298,-1.1039984176523447
1.2677354709418838,-1.1024244590956784
1.2773547094188376,-1.1008595037013464
1.2869739478957916,-1.0993039801689908
1.2965931863727453,-1.0977582956602991
1.3062124248496993,-1.096222836168958
1.3158316633266531,-1.0946979693781447
1.3254509018036071,-1.0931840424866532
1.335070140280561,-1.0916813849158942
1.344689378757515,-1.0901903085418936
