R_angstrom,E_singlet_root_0,E_singlet_root_1,E_singlet_root_2,E_singlet_root_3,E_singlet_root_4,E_singlet_root_5,E_triplet_root_0,E_triplet_root_1,E_triplet_root_2,E_triplet_root_3,E_triplet_root_4,E_triplet_root_5
0.2,0.0070317156687611515,0.6911822216416741,0.8473760812853581,0.891631192813485,1.1109759493867097,1.2462466676800958,0.6934039163509773,0.7920545715605636,0.9648618973785972,1.252252430584588,1.2655498928498532,1.3356914779366544
0.2241206030150754,-0.23479558724120908,0.43756794103236585,0.5934968913199821,0.6382007409353521,0.8562125296077909,0.9904883525388306,0.4376599186067123,0.5366957966125949,0.7084097552463842,0.9905991410857711,1.0106294089835457,1.0813842601591406
0.24824120603015076,-0.42159691922046827,0.23907753227083806,0.3946819420127743,0.4399442293726432,0.6565506197301076,0.789718397031397,0.2368906767801522,0.3364565008659426,0.5075355784725488,0.7816144753874374,0.8108857596945018,0.8848879128946747
0.2723618090452261,-0.5683479896466062,0.08081362029602857,0.2360353933708237,0.2819647409592081,0.49709944270486006,0.6290565937091113,0.07619578405486105,0.1764538033875105,0.34767240527317145,0.616356402861113,0.6514518824848619,0.7285543072461078
0.2964824120603015,-0.685150721842797,-0.04727212734154862,0.10751205913820572,0.15421361562063018,0.36781559442224854,0.4984728715147013,-0.05448954877545287,0.046440622485349525,0.21698161071768407,0.48916593261518093,0.5223000143848742,0.5958141191520512
0.3206030150753769,-0.7790579680427743,-0.15219879896670396,0.0020955932864219484,0.04967021220314782,0.2616834107969397,0.39096383872812357,-0.1621914020791264,-0.06057656649249732,0.10828799666131328,0.3843351263833976,0.4164172137412845,0.48392056412571405
0.34472361809045227,-0.8551420848388251,-0.2390163070296214,-0.08526142664705594,-0.036718185897940625,0.17365565460368582,0.30149070170406267,-0.2519639889638121,-0.14953578594533767,0.01749955819713911,0.29424500181004243,0.3287433049621158,0.3916748842139528
0.3688442211055276,-0.9171431637338974,-0.3114493225430577,-0.15828081310010034,-0.10867960275136923,0.10001004102595035,0.2263385084886984,-0.3275416207734907,-0.22413699098302575,-0.05886197822098693,0.21614156451055333,0.25552850242933034,0.31555794629926703
0.392964824120603,-0.9678760561620499,-0.3723029950224803,-0.2197645891112714,-0.1690228757704102,0.03794353457468991,0.1627105750999347,-0.3917403995382056,-0.2871801621387944,-0.1235578612234669,0.14794352552976342,0.19393311338561525,0.2525178495664149
0.4170854271356784,-1.0094961559140487,-0.423727595206439,-0.2718596644357216,-0.21990210280669942,-0.01469226278759117,0.10846338154399371,-0.44672135433521953,-0.3408091149189112,-0.17869281795098013,0.08787754179002838,0.1417710153428573,0.20035028239318953
0.44120603015075377,-1.043678363569166,-0.4673965683067145,-0.31623593445947606,-0.2629945703659444,-0.059569129372473606,0.06192800510544294,-0.49416790170994207,-0.3866876532887138,-0.2258596533548971,0.03452023830664963,0.09733958850047819,0.1574982113974448
0.4653266331658292,-1.0717409737159092,-0.5046296330664624,-0.3542094461471357,-0.29962375943474195,-0.09800528462145675,0.02178647271040801,-0.5354084357870101,-0.4261240185326851,-0.26626342382542,-0.013167530325167043,0.05930197184635011,0.12278062248955934
0.4894472361809045,-1.0947335022986655,-0.5364798804770723,-0.38682955038188127,-0.3308464342303672,-0.1310524431479818,-0.013015826174461953,-0.5715030133221926,-0.46016143454107405,-0.30084091903844246,-0.05578278795721747,0.026601723051521864,0.09500079544288809
0.5135678391959799,-1.1135000696436934,-0.5637965792471977,-0.4149417047567783,-0.35751546733470274,-0.15955858250333255,-0.043333237371161015,-0.6033059926064226,-0.48964588371855844,-0.33039897820509956,-0.09344232369867167,-0.001601244965393711,0.07251153458028448
0.5376884422110553,-1.1287257509638122,-0.5872711769504847,-0.43923339684486085,-0.38032583837379896,-0.1842139242084201,-0.06986611640231721,-0.6315119355933217,-0.5152737084007085,-0.3557360591956712,-0.12589938939117695,-0.025979605790770743,0.053176886094575715
