R_angstrom,E_root0,E_root1,E_root2,E_root3,E_root4,E_root5,E_root6
0.2,0.8313503983495809,2.136329113346365,2.151381078805217,2.1513810788052408,2.170194690703443,2.4209635232054736,2.4319782886074033
0.2096192384769539,0.7219902048354885,2.0139591744040075,2.030380072726216,2.0303800727262162,2.050413940960433,2.2992744629219213,2.3110897041827076
0.21923847695390783,0.6232724258054492,1.9021993250381914,1.9200498272265794,1.9200498272265856,1.941294621614893,2.188228167375697,2.2008564805528366
0.22885771543086172,0.5338370701626931,1.7997065201759355,1.8190464772995423,1.8190464772995538,1.8414910519779728,2.086481344077284,2.0999336534840745
0.23847695390781565,0.4525430697142856,1.7053546528719372,1.7262429174474845,1.7262429174474987,1.749874569627401,1.9929074812154874,2.007192936530064
0.24809619238476954,0.37842609683712736,1.6181924302674202,1.6406867809318462,1.6406867809318484,1.6654914970127446,1.9065548215649752,1.9216806627340741
0.25771543086172344,0.31066576723264117,1.5374103550622018,1.5615678298181876,1.561567829818217,1.5875305071611976,1.82661373786157,1.8425851201947814
0.26733466933867733,0.24855985987405615,1.4623144885558692,1.488192385342249,1.4881923853609058,1.515297038441073,1.7523911553713567,1.7692109413603216
0.2769539078156313,0.19150385644659806,1.392306171761078,1.419963086964659,1.4199630870278435,1.4481930153839362,1.6832903347541528,1.7009587805524748
0.2865731462925852,0.13897456470116265,1.3268672519778733,1.356362728255233,1.3563627282552395,1.3857006634970888,1.618794752542991,1.637309104021727
0.2961923847695391,0.09051691203237433,1.2655483262983402,1.2969412419909923,1.2969412419909947,1.3273694680672121,1.5584550899848066,1.5778090972215826
0.305811623246493,0.04573322318816819,1.2079577158989023,1.2413051424655883,1.2413051424655912,1.272805586128662,1.5018786349011224,1.522062106739691
0.3154308617234469,0.004274459725612134,1.1537518057864078,1.1891088988710359,1.1891088988710385,1.2216632194761439,1.4487206312224918,1.4697190045499933
0.3250501002004008,-0.03416698084354364,1.1026275241121462,1.1400478407322587,1.1400478407322594,1.1736374889588204,1.3986771839939052,1.4203843287251223
0.3346693386773547,-0.06986321846578147,1.054316514101508,1.0938522867849565,1.0938522867849632,1.1284585571851844,1.3514793975665997,1.3735370925177257
0.3442885771543086,-0.10305584060122519,1.0085803861800857,1.0502826580646107,1.050282658064614,1.0858867391157323,1.3068884923583408,1.3293033605640616
0.3539078156312625,-0.13396004080865653,0.9652067288657674,1.0091253879495699,1.0091253879495783,1.0457084013831102,1.2646917172135483,1.2874699654826427
0.3635270541082164,-0.16276809753774346,0.9240057220302718,0.9701894815455558,0.970189481545564,1.00773251815223,1.2246989087128686,1.247846306037485
0.37314629258517035,-0.1896523135115975,0.8848072534139622,0.9333036072424215,0.9333036072424248,0.9717877591287665,1.1867395819751683,1.2102614382121855
0.38276553106212424,-0.21476751176643227,0.8474584587813239,0.8983136268313872,0.8983136268313945,0.9377200188298078,1.150660459503913,1.174561604895073
0.3923847695390782,-0.2382531653515645,0.8118216182354507,0.8650804889289506,0.8650804889289627,0.9053903045908909,1.1163233629948448,1.1406081289166985
0.4020040080160321,-0.26023522271526045,0.7777723516731624,0.8334784248561253,0.83347842485613,0.8746729323893008,1.0836034072571794,1.1082756085855694
0.411623246492986,-0.2808276789870854,0.7451980657587827,0.8033933974964222,0.8033933974964254,0.845453973034529,1.052387446677185,1.077450366245343
0.4212424849699399,-0.300133933998908,0.7139966128577253,0.7747217626912835,0.7747217626912852,0.8176299114904737,1.0225727336010568,1.048029109414148
0.4308617234468938,-0.3182479704100447,0.6840751291583461,0.7473691099534849,0.7473691099534957,0.7911064855240479,0.9940657552112542,1.0199177712883467
0.44048096192384767,-0.3352553793774393,0.6553490247604312,0.7212492550810559,0.7212492550810716,0.7657976762755534,0.9667812212056484,0.9930305031956677
0.4501002004008016,-0.3512342563884747,0.6277411030319636,0.6962833619420389,0.6962833619420423,0.7416248280377187,0.9406411793076307,0.967288796268027
0.4597194388777555,-0.36625598605434617,0.6011807901826873,0.6723991745048326,0.6723991745048423,0.718515878332592,0.9155742395593713,0.9426207134085228
0.4693386773547094,-0.3803859315338334,0.5756034589458603,0.6495303432934407,0.6495303432934418,0.6964046826303878,0.8915148917571667,0.9189602157279931
0.4789579158316633,-0.3936840417278633,0.5509498326632876,0.6276158329885493,0.6276158329885599,0.6752304203006471,0.8684029033747037,0.8962465701683202
0.48857715430861726,-0.4062053873412228,0.5271654581232081,0.6065993999891899,0.6065993999891914,0.6549370689048748,0.8461827879718196,0.874423827119935
0.49819639278557115,-0.41800063519923936,0.5042002373903367,0.5864291304767528,0.5864291304767602,0.635472945013392,0.8248033362349857,0.8534403585691058
0.507815631262525,-0.42911646883108356,0.4820080106808986,0.567057030958743,0.5670570309587477,0.6167902888942112,0.8042172032053344,0.8332484487434527
0.5174348697394789,-0.4395959621736445,0.4605461840619457,0.5484386644617671,0.5484386644617705,0.5988449019974489,0.7843805458479269,0.8138039304182499
0.5270541082164328,-0.44947891228602055,0.4397753972000825,0.5305328265423119,0.5305328265423173,0.5815958215021592,0.765252705044813,0.7950658610438918
0.5366733466933868,-0.45880213615983767,0.4196592272932902,0.5133012561194308,0.5133012561194349,0.5650050303211991,0.7467959259120994,0.7769962336925718
0.5462925851703406,-0.4675997360196792,0.4001639256431153,0.49670837683784724,0.49670837683785507,0.5490372005422768,0.7289751106328644,0.7595597185271359
0.5559118236472946,-0.4759033369276754,0.3812581832270394,0.480721065641986,0.48072106564198874,0.5336594472731979,0.7117575988792026,0.7427234310913242
