R_angstrom,E_singlet_root_0,E_singlet_root_1,E_singlet_root_2,E_singlet_root_3,E_singlet_root_4,E_singlet_root_5,E_singlet_root_6,E_singlet_root_7,E_singlet_root_8,E_singlet_root_9,E_singlet_root_10,E_triplet_root_0,E_triplet_root_1,E_triplet_root_2,E_triplet_root_3,E_triplet_root_4,E_triplet_root_5,E_triplet_root_6,E_triplet_root_7,E_triplet_root_8,E_triplet_root_9,E_triplet_root_10
0.2,0.007031714810068035,0.691182221373654,0.847376080355547,0.8916311927179714,1.1109759493093843,1.2462466674790247,1.5753363980943385,1.899516566725722,1.9409830037839746,1.961334475041655,2.0391772364968066,0.6934039168192181,0.7920545713582072,0.9648618975793177,1.2522524310344354,1.265549892849784,1.3356914752905784,1.8983178560537581,2.002609610123291,2.0859324090968587,2.0984315783104655,2.135316995695625
0.2241206030150754,-0.2347955872127363,0.43756794078247174,0.5934968905660694,0.6382007408782373,0.8562125263234945,0.9904883529520165,1.3245340466188975,1.619515317661798,1.6555333370216774,1.6783614525382493,1.7561830503891267,0.4376599190427093,0.5366957963443209,0.7084097554175208,0.9905991405749284,1.0106294089835366,1.0813842570135852,1.6151778872960294,1.7349005532081594,1.8003448816210865,1.816842711967836,1.8497799182067984
0.24824120603015076,-0.42159692010204,0.23907753196353765,0.3946819413137095,0.4399442293431719,0.6565506160501291,0.7897183964058674,1.1286102965044427,1.3945021517763108,1.4255283352217418,1.4508634868651784,1.528594609983097,0.236890677188903,0.33645650053966203,0.5075355785106839,0.7816144749114655,0.8108857596945034,0.8848879116110435,1.3871781383743549,1.529952154002788,1.5698689589933432,1.5906053151696091,1.619360292575546
0.2723618090452261,-0.5683479905937134,0.0808136202467249,0.23603539266532203,0.28196474092526747,0.49709943845218585,0.6290565931202348,0.9725869479045852,1.2095093417632727,1.2365315006277942,1.2641292743693588,1.3417157268714746,0.07619578458858078,0.17645380302885183,0.347672405438622,0.616356402361367,0.651451882484855,0.7285543069848266,1.1995924701323923,1.3793156084985323,1.3917547530916488,1.4055311038195906,1.4293972772092354
0.2964824120603015,-0.6851507227555571,-0.0472721275297221,0.10751205839442579,0.15421361558135138,0.36781559438435574,0.4984728712053961,0.8463285024134061,1.0542428034902982,1.079001440120948,1.1082325504079535,1.1856277821835364,-0.05448954882677137,0.04644062248960257,0.21698161064834798,0.4891659318354391,0.5223000143848753,0.5958141189523289,1.0424338894428504,1.219966097442001,1.249308107865174,1.2696361951025632,1.283360857037212
0.3206030150753769,-0.7790579691589388,-0.1521987992086551,0.0020955922186658427,0.049670209232315576,0.26168341074138723,0.3909638389792831,0.7427160623217316,0.9214555299910878,0.946391561399712,0.9762320472116411,1.0533897368431588,-0.1621914021528852,-0.0605765664825888,0.10828799650917054,0.38433512538094994,0.41641721564024503,0.48392056326839783,0.9087699721175432,1.083911924691039,1.1179403754052648,1.1337770474238118,1.1546470932910993
0.34472361809045227,-0.855142085870142,-0.23901630726574052,-0.08526142763328948,-0.036718189369358,0.17365565462163213,0.30149070140987044,0.6565623930693582,0.8062007848260448,0.8337978026213054,0.8631272813734556,0.9399864376491877,-0.25196398905457906,-0.14953578593943484,0.01749955796734226,0.29424500036581036,0.3287433071859458,0.3916748822636491,0.7936236314459251,0.9664193038799896,1.0051292371605411,1.0163450239484595,1.0402863075571276
0.3688442211055276,-0.9171431647514532,-0.3114493227974333,-0.15828081398330873,-0.10867960646694974,0.10001004102193178,0.22633850812355027,0.5839147944685467,0.7052490816057676,0.7373017826490731,0.7652240700873525,0.8416629682634862,-0.3275416208587827,-0.22413699096697015,-0.05886197833165685,0.21614156309945165,0.25552850208265143,0.31555794507088364,0.6933062801174014,0.8638238608136972,0.9071545354148263,0.9138464680979187,0.9410776651183779
0.392964824120603,-0.9678760571636886,-0.3723029951549406,-0.21976458957847678,-0.1690228759355994,0.03794353454989685,0.16271057362715657,0.5215300780809984,0.6165358036805593,0.653847082252215,0.6797336798985295,0.7553273994230074,-0.39174039962194973,-0.28718016218110276,-0.12355786132366497,0.147943523634805,0.19393311294362836,0.25251784934136423,0.605033179698992,0.7733576427194311,0.8205595833670223,0.8241940927641248,0.8542359887267704
0.4170854271356784,-1.009496156881617,-0.4237275953684274,-0.271859664877768,-0.2199021029633137,-0.014692262832415537,0.10846338078083084,0.4663343481890113,0.5389959858946938,0.5811521465776605,0.6045110979536145,0.6770908613494347,-0.44672135440271843,-0.34080911500729916,-0.1786928180656875,0.08787753858340475,0.14177101462698594,0.2003502794468044,0.5266661872539866,0.6928961946266949,0.7412351586326479,0.7472374565849852,0.7776194460148682
0.44120603015075377,-1.0436783633600728,-0.4673965683654211,-0.31623593488784585,-0.2629945705595167,-0.05956912943540793,0.06192800312196467,0.41477864657763275,0.4728030969371817,0.5175748223377074,0.5378791748680943,0.6043682547648485,-0.4941679017445282,-0.3866876546612199,-0.22585965347685932,0.03452023482252575,0.09733958757181727,0.1574982112104566,0.4565383833386638,0.6207836482228785,0.6689962764835505,0.6798435043558626,0.7095537361463597
0.4653266331658292,-1.0717409734918337,-0.5046296331569267,-0.3542094464960259,-0.29962375957306864,-0.0980052847055557,0.021786468647920776,0.3631872635560812,0.4187182526343829,0.46202658322429235,0.47850744621951413,0.5381051507901492,-0.5354084358282036,-0.42612401841477165,-0.26626342396723435,-0.013167533384658814,0.05930197063118836,0.12278062223989594,0.39333281845690937,0.5557115525613143,0.6035254035267374,0.6197113573452427,0.648710976071218
0.4894472361809045,-1.0947335020271391,-0.5364798805369784,-0.3868295507349888,-0.3308464343183488,-0.1310524432557285,-0.01301582639010146,0.3107469692299599,0.37482408121953614,0.41393593564221143,0.42532682766290764,0.47801671384151645,-0.5715030133797212,-0.46016143447309377,-0.30084091919939104,-0.055782791190011505,0.026601721450726368,0.09500079513615378,0.3359969150855049,0.49663336317915174,0.5439218490421467,0.5656518419952843,0.5940244084390174
0.5135678391959799,-1.1135000693352926,-0.5637965792588366,-0.4149417051162474,-0.3575154674296832,-0.1595585826414727,-0.04333323777271625,0.259400974904075,0.33658522778105193,0.3729449039601911,0.37746830330496006,0.4237927504845779,-0.6033059926875883,-0.4896458836318671,-0.3303989784079686,-0.09344232737761482,-0.0016012470838022708,0.07251153307255076,0.2836806469626525,0.4427027737406777,0.4893863394547808,0.5167799926961884,0.5446272436390274
0.5376884422110553,-1.1287257506346804,-0.587271176800544,-0.4392333960159932,-0.38032583865457703,-0.18421392437964312,-0.0698661167321547,0.21057233195842884,0.30081628923708714,0.3342181313537671,0.3375443791798447,0.37597598862787784,-0.6315119356881894,-0.5152737082039699,-0.3557360594606812,-0.12589939326582222,-0.02597960860116333,0.05317688573465096,0.23569109853708559,0.39322820108029444,0.43926146829720714,0.47238354662903836,0.49980811635887495
