R_angstrom,E_root0,E_root1,E_root2,E_root3,E_root4,E_root5,E_root6,E_root7,E_root8,E_root9,E_root10
0.2,0.8313503983484933,2.136329113349383,2.151381079,2.1513810788052288,2.170194691,2.4209635232129965,2.4319782886062593,2.4388715994797927,2.4388715994798202,2.4456188304133186,2.540574181618844
0.2096192384769539,0.7219902048362641,2.0139591743701484,2.030380072696817,2.0303800727262193,2.050413940916992,2.299274462876986,2.311089704166128,2.3174179418484844,2.3174179418485124,2.3241705150621663,2.4195473860596954
0.21923847695390783,0.6232724258055371,1.9021993250848128,1.920049827177444,1.9200498272265842,1.941294621545247,2.1882281674862956,2.200856480494477,2.2066172721356008,2.2066172721356376,2.2133782613568274,2.3091902480112187
0.22885771543086172,0.5338370701625264,1.7997065201351328,1.819046477,1.8190464772995494,1.8414910516369218,2.0864813440096035,2.099933653346979,2.105126122595353,2.1051261225953932,2.111899400715449,2.208158907618979
0.23847695390781565,0.45254306971511626,1.7053546528285608,1.7262429173821818,1.7262429174475007,1.7498745691648403,1.992907481174244,2.0071929362230443,2.011817791,2.0118177911233146,2.018608190858505,2.115326262737519
0.24809619238476954,0.37842609683777706,1.6181924302376929,1.6406867808951946,1.6406867809318482,1.6654914957993041,1.9065548215374537,1.9216806609324089,1.9257403195730247,1.9257403195730285,1.9325538289557564,2.0297399479543166
0.25771543086172344,0.3106657672324231,1.5374103549745681,1.5615678298181956,1.5615678298182165,1.5875305071334345,1.8266137377448923,1.842585119958842,1.846083882750034,1.8460838827500479,1.8529278824327793,1.9600025188909742
0.26733466933867733,0.24855985987410123,1.4623144884693036,1.4881923853608967,1.488192385360909,1.5152970382922448,1.752391155266052,1.7692109404552443,1.7721552177576823,1.7721552177577073,1.779038766796597,1.885912260887295
0.2769539078156313,0.19150385644743118,1.3923061716742149,1.4199630870278528,1.419963087027856,1.4481930153836367,1.6832903346547712,1.7009587805486062,1.7033573819946597,1.7033573819946746,1.7102915571767434,1.8169226944423125
0.2865731462925852,0.1389745647011853,1.326867251975576,1.3563627281328787,1.3563627282552464,1.385700663432199,1.618794752541544,1.637309101226435,1.6391735877539735,1.6391735877539777,1.6461718773177088,1.7452841936160552
