R_angstrom,E_root0,E_root1,E_root2,E_root3,E_root4,E_root5,E_root6,E_root7,E_root8,E_root9,E_root10
0.2,0.8313503983479575,2.136329113211102,2.151381078791813,2.1513810788052234,2.170194690703052,2.420963522997154,2.431978288606428,2.438871599479799,2.4388715994798185,2.4456188304140034,2.5405741816188425
0.2096192384769539,0.7219902048356164,2.0139591743748224,2.0303800726968184,2.030380072726218,2.0504139409170032,2.299274462861133,2.311089704166135,2.317417941848494,2.31741794184851,2.324170515061842,2.4195473860596968
0.21923847695390783,0.623272425805302,1.9021993250588518,1.9200498271774475,1.9200498272265905,1.94129462154521,2.1882281674343216,2.2008564804940707,2.2066172721356208,2.2066172721356363,2.2133782613560156,2.309190248011218
0.22885771543086172,0.5338370701623112,1.7997065201259077,1.819046477233952,1.8190464772995503,1.8414910516371183,2.0864813440116685,2.099933653348712,2.10512612259536,2.10512612259539,2.111899400720385,2.208158907618979
0.23847695390781565,0.4525430697146813,1.7053546528584733,1.7262429173821796,1.726242917447493,1.7498745691646682,1.992907481200122,2.0071929362207657,2.0118177911233195,2.0118177911233257,2.018608190852728,2.115326262737519
0.24809619238476954,0.3784260968373998,1.6181924302681794,1.6406867808951984,1.6406867809318424,1.6654914957991012,1.9065548215646893,1.9216806609314212,1.9257403195730272,1.925740319573041,1.9325538289531667,2.0297399479543174
0.25771543086172344,0.3106657672330515,1.5374103549740052,1.561567829818192,1.561567829818214,1.5875305071334336,1.826613737743807,1.8425851199584518,1.8460838827500328,1.84608388275004,1.8529278824322577,1.960002518891212
0.26733466933867733,0.24855985987410123,1.4623144884693036,1.4881923853608967,1.488192385360909,1.5152970382922448,1.752391155266052,1.7692109404552443,1.7721552177576823,1.7721552177577073,1.779038766796597,1.885912260887295
0.2769539078156313,0.19150385644672796,1.3923061716708705,1.4199630870278401,1.4199630870278455,1.448193015383658,1.6832903346525536,1.7009587805490516,1.7033573819946595,1.7033573819946783,1.7102915571774688,1.816922694443416
0.2865731462925852,0.13897456470133784,1.3268672519734066,1.356362728132894,1.3563627282552355,1.3857006634324724,1.6187947525408315,1.6373091012278367,1.6391735877539793,1.6391735877539824,1.6461718773201284,1.7452841936160572
0.2961923847695391,0.09051691203212053,1.265548326353342,1.296941241827486,1.2969412419909527,1.3273694662560862,1.5584550901156784,1.5778090966461573,1.579154186675626,1.5791541866756356,1.5862329304023148,1.6858269980465883
