R_angstrom,E_CCSD,E_exc_1,E_exc_2,E_exc_3
0.2,0.007031715757363742,0.691182226275492,0.7069280099892448,0.8040986966227535
0.2241206030150754,-0.23479558604292103,0.43756794621450745,0.452183824379807,0.5494030285629891
0.24824120603015076,-0.42159691908791264,0.23907753801306156,0.25253153073176393,0.3499110438126303
0.2723618090452261,-0.5683479896599661,0.08081362661698742,0.09307894225870271,0.19074876681727626
0.2964824120603015,-0.6851507215772232,-0.047272120487706765,-0.036222503675372025,0.06157208655128146
0.3206030150753769,-0.7790579680152601,-0.15219879179912651,-0.14238776528605676,-0.04461736906414579
0.34472361809045227,-0.8551420859932695,-0.23901629849832146,-0.23046259065965763,-0.1327114289753158
0.3688442211055276,-0.9171431649187407,-0.3114493136705224,-0.3041699641696235,-0.2064026908029094
0.392964824120603,-0.9678760573793592,-0.3723029858658941,-0.36631403681858316,-0.26849448170363605
0.4170854271356784,-1.0094961571463164,-0.4237275859824524,-0.4190443292470132,-0.32113393019826464
0.44120603015075377,-1.0436783636576739,-0.4673965590872692,-0.4640337105949738,-0.36598621777624485
0.4653266331658292,-1.0717409738077779,-0.5046296240060746,-0.5026014716605569,-0.4043593421168324
0.4894472361809045,-1.0947335023658615,-0.5364798712942459,-0.5358004752226304,-0.4372981903582345
0.5135678391959799,-1.1135000697063488,-0.5644801576989898,-0.5637965698431483,-0.46566003487620933
0.5376884422110553,-1.1287257510602795,-0.589332734456859,-0.5872711673633767,-0.49016861248328425
0.5618090452261306,-1.140970946617538,-0.6109272429456838,-0.6074714565848551,-0.511438155226922
0.585929648241206,-1.150697391257085,-0.6297347692022158,-0.6248673020514739,-0.5299774555722659
0.6100502512562813,-1.158288125981282,-0.6461475682595169,-0.6398502499795824,-0.5461946786523356
0.6341708542713568,-1.1640628638768735,-0.6604940263712963,-0.6527486388473878,-0.5604111195861706
0.6582914572864322,-1.1682898944288314,-0.6730506472282151,-0.6638393842205661,-0.5728820006023588
0.6824120603015076,-1.171195467173607,-0.6840516750512313,-0.6733572860315766,-0.5838177558139703
0.7065326633165829,-1.172971289416796,-0.6936967158092715,-0.6815024529974967,-0.5933991695352867
0.7306532663316583,-1.1737805426835455,-0.7021567310112191,-0.6884462647999721,-0.6017852065194217
0.7547738693467336,-1.1737627175181717,-0.709578790962285,-0.6943361823739167,-0.6091164258074588
0.778894472361809,-1.1730375136144469,-0.7160898983218525,-0.6992996428083742,-0.6155167944245017
0.8030150753768843,-1.1717080065768457,-0.721800096345564,-0.7034472232851964,-0.6210952203233516
0.8271356783919597,-1.1698632388249777,-0.7268050130191741,-0.7068752221625916,-0.6259471226836271
0.8512562814070352,-1.1675803543228416,-0.7311879573206405,-0.7096677783692497,-0.6301560043218116
0.8753768844221106,-1.1649263673368078,-0.7350216605285451,-0.7118986268361833,-0.633794942603681
0.8994974874371859,-1.1619596344378813,-0.738369735198145,-0.7136325650798424,-0.6369279466892619
0.9236180904522613,-1.1587310846801564,-0.7412879068005601,-0.714926689220111,-0.6396111616913602
0.9477386934673366,-1.1552852525699253,-0.7438250595175555,-0.715831441497239,-0.6418939207231132
0.971859296482412,-1.1516611500975198,-0.74602412832085,-0.7163915000475293,-0.6438196565526929
0.9959798994974873,-1.147893006892963,-0.7479228628823874,-0.7166465420905539,-0.645426689793111
1.0201005025125627,-1.1440109014646804,-0.7495544847294103,-0.7166318976931872,-0.6467489080135483
1.0442211055276382,-1.140041301553005,-0.7509482531828355,-0.7163791134747298,-0.6478163587978158
1.0683417085427136,-1.1360075278577262,-0.752129956079387,-0.7159164404844459,-0.6486557620430502
1.092462311557789,-1.1319301526031749,-0.7531223350549604,-0.7152692583976255,-0.6492909580303605
1.1165829145728643,-1.127827342361558,-0.7539454554837629,-0.7144604463290078,-0.6497432966255589
1.1407035175879396,-1.1237151530500946,-0.7546170287929547,-0.7135107091697639,-0.6500319728154462
1.164824120603015,-1.1196077838733038,-0.7551526937730587,-0.7124388673694148,-0.650174311801481
1.1889447236180903,-1.1155177907295175,-0.7555662604907497,-0.7112621150273085,-0.6501860050240706
1.2130653266331657,-1.1114562949880438,-0.7558699340640985,-0.7099962669074942,-0.6500813108739215
1.237185929648241,-1.1074331180078965,-0.7560744928452109,-0.7086559664315465,-0.6498732042782489
1.2613065326633166,-1.1034569400534637,-0.7561894594007381,-0.7072549063729111,-0.6495735107986466
1.285427135678392,-1.0995354184210684,-0.7562232530155355,-0.7058060372054765,-0.6491930119201781
