R_angstrom,E_RHF_aug-cc-pVTZ_Eh
0.2,0.055389147407443495
0.2096192384769539,-0.04954840150675954
0.21923847695390783,-0.14380745424167984
0.22885771543086172,-0.22875598133279618
0.23847695390781565,-0.30554245020322157
0.24809619238476954,-0.3751380496099119
0.25771543086172344,-0.43836952803782514
0.26733466933867733,-0.4959450044540119
0.2769539078156313,-0.5484744491115124
0.2865731462925852,-0.5964860740232258
0.2961923847695391,-0.6404395509523055
0.305811623246493,-0.680736745676095
0.3154308617234469,-0.7177304918187366
0.3250501002004008,-0.7517318063178233
0.3346693386773547,-0.7830158584702384
0.3442885771543086,-0.8118269364461541
0.3539078156312625,-0.8383826032384026
0.3635270541082164,-0.8628771939104631
0.37314629258517035,-0.8854847746789603
0.38276553106212424,-0.9063616599647236
0.3923847695390782,-0.9256485642387923
0.4020040080160321,-0.9434724503445908
0.411623246492986,-0.9599481240251468
0.4212424849699399,-0.9751796149440477
0.4308617234468938,-0.9892613770730219
0.44048096192384767,-1.0022793353713086
0.4501002004008016,-1.0143118010783034
0.4597194388777555,-1.025430274154624
0.4693386773547094,-1.0357001484319175
0.4789579158316633,-1.045181332608299
0.48857715430861726,-1.0539287982442394
0.49819639278557115,-1.0619930642715782
0.507815631262525,-1.0694206261837158
0.5174348697394789,-1.0762543369425888
0.5270541082164328,-1.0825337456443196
0.5366733466933868,-1.0882953992237085
0.5462925851703406,-1.0935731117174818
0.5559118236472946,-1.0983982050611445
0.5655310621242484,-1.1027997248356316
0.5751503006012024,-1.1068046339698214
0.5847695390781563,-1.110437986984947
0.5943887775551102,-1.1137230870568904
0.6040080160320641,-1.1166816278775968
0.613627254509018,-1.119333822031858
0.623246492985972,-1.1216985174001513
0.6328657314629258,-1.1237933029079148
0.6424849699398798,-1.1256346047657475
0.6521042084168336,-1.1272377742130133
0.6617234468937876,-1.1286171676462788
0.6713426853707415,-1.1297862199104256
0.6809619238476954,-1.130757511432845
0.6905811623246493,-1.1315428298016104
0.7002004008016032,-1.132153226320837
0.7098196392785572,-1.1325990680117808
0.719438877755511,-1.1328900854771686
0.729058116232465,-1.1330354169992853
0.7386773547094188,-1.1330436492079987
0.7482965931863728,-1.1329228546115893
0.7579158316633265,-1.1326806262606945
0.7675350701402806,-1.1323241097850367
0.7771543086172346,-1.1318600330254132
0.7867735470941883,-1.131294733451576
0.7963927855711423,-1.1306341835547138
0.8060120240480961,-1.1298840143736781
0.8156312625250501,-1.1290495373071674
0.8252505010020039,-1.1281357643471996
0.8348697394789579,-1.1271474268655033
0.8444889779559117,-1.1260889930598483
0.8541082164328657,-1.1249646841753642
0.8637274549098197,-1.1237784895906175
0.8733466933867735,-1.1225341808632692
0.8829659318637275,-1.1212353248129787
0.8925851703406813,-1.119885295719803
0.9022044088176353,-1.1184872867049425
0.9118236472945891,-1.117044320356737
0.9214428857715431,-1.115559258660851
0.9310621242484969,-1.1140348122855437
0.9406813627254509,-1.1124735492706566
0.9503006012024049,-1.110877903165643
0.9599198396793587,-1.1092501806529445
0.9695390781563127,-1.1075925686977361
0.9791583166332665,-1.1059071412538164
0.9887775551102205,-1.104195865558885
0.9983967935871743,-1.1024606080447024
1.0080160320641283,-1.1007031398894656
1.017635270541082,-1.0989251422354205
1.027254509018036,-1.097128211093319
1.03687374749499,-1.095313861953278
1.0464929859719438,-1.0934835341215439
1.0561122244488979,-1.0916385947990477
1.0657314629258516,-1.0897803429183064
1.0753507014028056,-1.0879100127540307
1.0849699398797594,-1.0860287773201083
1.0945891783567134,-1.0841377515667352
1.1042084168336672,-1.0822379953898789
1.1138276553106212,-1.0803305164641983
1.123446893787575,-1.0784162729102675
1.133066132264529,-1.0764961758063958
1.142685370741483,-1.074571091554903
1.1523046092184368,-1.07264184411073
1.1619238476953908,-1.0707092170825117
1.1715430861723446,-1.068773955712917
1.1811623246492986,-1.0668367687462803
1.1907815631262524,-1.0648983301905437
1.2004008016032064,-1.062959280980753
1.2100200400801602,-1.0610202305493757
1.2196392785571142,-1.0590817583101393
1.229258517034068,-1.057144415061145
1.238877755511022,-1.0552087243120527
1.2484969939879758,-1.053275183539683
1.2581162324649298,-1.0513442653781175
1.2677354709418838,-1.0494164187461197
1.2773547094188376,-1.0474920699167238
1.2869739478957916,-1.0455716235323897
1.2965931863727453,-1.0436554635691127
1.3062124248496993,-1.0417439542528504
1.3158316633266531,-1.0398374409315152
1.3254509018036071,-1.0379362509045453
1.335070140280561,-1.0360406942137317
1.344689378757515,-1.0341510643964895
1.354308617234469,-1.0322676392048495
1.3639278557114227,-1.0303906812916104
1.3735470941883767,-1.0285204388655258
1.3831663326653305,-1.0266571463178609
1.3927855711422845,-1.0248010248213109
1.4024048096192383,-1.0229522829029833
1.4120240480961923,-1.0211111169930356
1.421643286573146,-1.0192777119501086
1.4312625250501,-1.0174522415646128
1.440881763527054,-1.0156348690412778
1.4505010020040079,-1.0138257474616454
1.460120240480962,-1.0120250202277323
1.4697394789579157,-1.0102328214875769
1.4793587174348697,-1.0084492765435384
1.4889779559118235,-1.0066745022441053
1.4985971943887775,-1.0049086073597397
1.5082164328657313,-1.0031516929439983
1.5178356713426853,-1.0014038526794131
1.5274549098196393,-0.9996651732100661
1.537074148296593,-0.9979357344603329
1.546693386773547,-0.9962156099407186
1.5563126252505008,-0.9945048670413404
1.5659318637274549,-0.992803567313229
1.5755511022044086,-0.9911117667380769
1.5851703406813626,-0.9894295159867948
