R_angstrom,E_CCSD_aug-cc-pVDZ_Eh
0.2,0.09941976682476163
0.2096192384769539,-0.009000003202651062
0.21923847695390783,-0.10663387430595479
0.22885771543086172,-0.1948470576527801
0.23847695390781565,-0.2747858037915417
0.24809619238476954,-0.34741974384837354
0.25771543086172344,-0.4135747860490522
0.26733466933867733,-0.4739589328011318
0.2769539078156313,-0.5291827283116006
0.2865731462925852,-0.5797755897834992
0.2961923847695391,-0.6261989519744807
0.305811623246493,-0.6688569230756797
0.3154308617234469,-0.7081049814604398
0.3250501002004008,-0.7442571189953675
0.3346693386773547,-0.7775917444590668
0.3442885771543086,-0.8083565912850387
0.3539078156312625,-0.836772821172214
0.3635270541082164,-0.8630384746987414
0.37314629258517035,-0.8873313888361894
0.38276553106212424,-0.9098116769264804
0.3923847695390782,-0.9306238476222334
0.4020040080160321,-0.949898624284685
0.411623246492986,-0.9677545144719043
0.4212424849699399,-0.9842991697480928
0.4308617234468938,-0.9996305685725693
0.44048096192384767,-1.0138380490748518
0.4501002004008016,-1.0270032137757317
0.4597194388777555,-1.039200724509922
0.4693386773547094,-1.0504990027620582
0.4789579158316633,-1.0609608481685369
0.48857715430861726,-1.0706439859508774
0.49819639278557115,-1.0796015524300815
0.507815631262525,-1.0878825264438243
0.5174348697394789,-1.0955321133913387
0.5270541082164328,-1.1025920877180726
0.5366733466933868,-1.10910109888057
0.5462925851703406,-1.1150949451811134
0.5559118236472946,-1.1206068193016998
0.5655310621242484,-1.1256675288850764
0.5751503006012024,-1.130305695091666
0.5847695390781563,-1.134547931697386
0.5943887775551102,-1.13841900697655
0.6040080160320641,-1.1419419903351191
0.613627254509018,-1.1451383854122108
0.623246492985972,-1.148028251152637
0.6328657314629258,-1.1506303121623103
0.6424849699398798,-1.1529620594930114
0.6521042084168336,-1.1550398428560658
0.6617234468937876,-1.1568789551387986
0.6713426853707415,-1.1584937101958093
0.6809619238476954,-1.159897513119228
0.6905811623246493,-1.161102927961733
0.7002004008016032,-1.1621217361127272
0.7098196392785572,-1.162964993095013
0.719438877755511,-1.1636430797961135
0.729058116232465,-1.1641657499548574
0.7386773547094188,-1.1645421740152342
0.7482965931863728,-1.1647809796384612
0.7579158316633265,-1.1648902891200488
0.7675350701402806,-1.1648777539949802
0.7771543086172346,-1.1647505869738686
0.7867735470941883,-1.1645155914854421
0.7963927855711423,-1.1641791889643909
0.8060120240480961,-1.1637474440702875
0.8156312625250501,-1.1632260879932774
0.8252505010020039,-1.1626205399924483
0.8348697394789579,-1.1619359273037146
0.8444889779559117,-1.1611771035430078
0.8541082164328657,-1.1603486657229298
0.8637274549098197,-1.159454969992582
0.8733466933867735,-1.1585001462020865
0.8829659318637275,-1.1574881113874325
0.8925851703406813,-1.156422582263156
0.9022044088176353,-1.1553070868054276
0.9118236472945891,-1.1541449750005444
0.9214428857715431,-1.1529394288293586
0.9310621242484969,-1.1516934715521723
0.9406813627254509,-1.1504099763529674
0.9503006012024049,-1.149091674397721
0.9599198396793587,-1.1477411623565674
0.9695390781563127,-1.1463609094347909
0.9791583166332665,-1.1449532639543973
0.9887775551102205,-1.1435204595236141
0.9983967935871743,-1.142064620828397
1.0080160320641283,-1.1405877690768476
1.017635270541082,-1.139091827124653
1.027254509018036,-1.1375786243066095
1.03687374749499,-1.1360499009972909
1.0464929859719438,-1.1345073129214622
1.0561122244488979,-1.1329524352329465
1.0657314629258516,-1.131386766365494
1.0753507014028056,-1.1298117317487968
1.0849699398797594,-1.128228687207485
1.0945891783567134,-1.1266389223199724
1.1042084168336672,-1.125043663548902
1.1138276553106212,-1.123444077230813
1.123446893787575,-1.1218412724229894
1.133066132264529,-1.1202363036159446
1.142685370741483,-1.1186301733187005
1.1523046092184368,-1.1170238345232688
1.1619238476953908,-1.1154181930573976
1.1715430861723446,-1.1138141098148688
1.1811623246492986,-1.1122124029061586
1.1907815631262524,-1.110613849697656
1.2004008016032064,-1.1090191887406726
1.2100200400801602,-1.1074291216355254
1.2196392785571142,-1.10584431479437
1.229258517034068,-1.1042654011230366
1.238877755511022,-1.1026929816222992
1.2484969939879758,-1.1011276269115584
1.2581162324649298,-1.0995698786777324
1.2677354709418838,-1.0980202510520571
1.2773547094188376,-1.0964792319171537
1.2869739478957916,-1.0949472841470815
1.2965931863727453,-1.0934248467823466
1.3062124248496993,-1.0919123361424152
1.3158316633266531,-1.0904101468776994
1.3254509018036071,-1.0889186529632373
1.335070140280561,-1.0874382086361467
1.344689378757515,-1.0859691492788166
1.354308617234469,-1.0845117922499505
1.3639278557114227,-1.0830664376654469
1.3735470941883767,-1.0816333691309772
