R_angstrom,E_CCSD_aug-cc-pV5Z_Eh
0.2,0.0054742106050596415
0.2096192384769539,-0.0987940838873839
0.21923847695390783,-0.19241953508667026
0.22885771543086172,-0.2767687551841798
0.23847695390781565,-0.35298880166039215
0.24809619238476954,-0.4220495119133918
0.25771543086172344,-0.4847763865261138
0.26733466933867733,-0.541876397231332
0.2769539078156313,-0.5939584377571652
0.2865731462925852,-0.6415496748515699
0.2961923847695391,-0.6851087306884349
0.305811623246493,-0.725036392978588
0.3154308617234469,-0.7616843788284212
0.3250501002004008,-0.7953625535997217
0.3346693386773547,-0.8263449136184603
0.3442885771543086,-0.8548745727117822
0.3539078156312625,-0.8811679404277782
0.3635270541082164,-0.9054182407988104
0.37314629258517035,-0.927798515246392
0.38276553106212424,-0.9484640508317471
0.3923847695390782,-0.9675546900916718
0.4020040080160321,-0.9851965835749
0.411623246492986,-1.0015038067848199
0.4212424849699399,-1.0165797374919108
0.4308617234468938,-1.030518249999833
0.44048096192384767,-1.0434047539974494
0.4501002004008016,-1.0553171018455134
0.4597194388777555,-1.0663263820697613
0.4693386773547094,-1.0764976159095474
0.4789579158316633,-1.0858903699174585
0.48857715430861726,-1.0945592964625512
0.49819639278557115,-1.1025546113307376
0.507815631262525,-1.1099225175000045
0.5174348697394789,-1.1167055818289155
0.5270541082164328,-1.1229430710281991
0.5366733466933868,-1.1286712522388245
0.5462925851703406,-1.1339236623347153
0.5559118236472946,-1.1387313497997489
0.5655310621242484,-1.1431230918877895
0.5751503006012024,-1.1471255899863626
0.5847695390781563,-1.150763645307925
0.5943887775551102,-1.154060317193595
0.6040080160320641,-1.1570370657409756
0.613627254509018,-1.1597138807897522
0.623246492985972,-1.1621093986263422
0.6328657314629258,-1.1642410078602143
0.6424849699398798,-1.1661249457009912
0.6521042084168336,-1.167776385695618
0.6617234468937876,-1.1692095178414355
0.6713426853707415,-1.1704376218860713
0.6809619238476954,-1.1714731344767664
0.6905811623246493,-1.1723277107463572
0.7002004008016032,-1.1730122808451842
0.7098196392785572,-1.1735371018482283
0.719438877755511,-1.1739118054416147
0.729058116232465,-1.1741454417509203
0.7386773547094188,-1.174246519634334
0.7482965931863728,-1.1742230437550039
0.7579158316633265,-1.1740825487145168
0.7675350701402806,-1.1738321305091812
0.7771543086172346,-1.173478475547135
0.7867735470941883,-1.1730278874505842
0.7963927855711423,-1.1724863118361857
0.8060120240480961,-1.1718593592488211
0.8156312625250501,-1.1711523264236454
0.8252505010020039,-1.1703702160027947
0.8348697394789579,-1.1695177548487128
0.8444889779559117,-1.1685994110645437
0.8541082164328657,-1.1676194098308272
0.8637274549098197,-1.1665817481490497
0.8733466933867735,-1.165490208578778
0.8829659318637275,-1.164348372046921
0.8925851703406813,-1.163159629797922
0.9022044088176353,-1.1619271945503462
0.9118236472945891,-1.1606541109153963
0.9214428857715431,-1.1593432651338142
0.9310621242484969,-1.1579973941793846
0.9406813627254509,-1.156619094283972
0.9503006012024049,-1.1552108288544076
0.9599198396793587,-1.1537749359991665
0.9695390781563127,-1.1523136354624965
0.9791583166332665,-1.1508290351753288
0.9887775551102205,-1.1493231373817607
0.9983967935871743,-1.1477978443854961
1.0080160320641283,-1.146254963938373
1.017635270541082,-1.1446962143008717
1.027254509018036,-1.1431232289927198
1.03687374749499,-1.141537561260956
1.0464929859719438,-1.1399406882813437
1.0561122244488979,-1.1383340151142083
1.0657314629258516,-1.136718878430529
1.0753507014028056,-1.1350965500226013
1.0849699398797594,-1.1334682401150877
1.0945891783567134,-1.131835100486719
1.1042084168336672,-1.1301982274144642
1.1138276553106212,-1.1285586644511987
1.123446893787575,-1.1269174050456716
