R_angstrom,E_RHF_aug-cc-pVDZ_Eh
0.2,0.125265963648304
0.2096192384769539,0.017030234181142134
0.21923847695390783,-0.080417319006034
0.22885771543086172,-0.16844227144678525
0.23847695390781565,-0.248191211460566
0.24809619238476954,-0.3206340840306725
0.25771543086172344,-0.38659708958746064
0.26733466933867733,-0.4467885028785429
0.2769539078156313,-0.5018191218711492
0.2865731462925852,-0.5522185998018341
0.2961923847695391,-0.59844859020072
0.305811623246493,-0.6409134029486715
0.3154308617234469,-0.6799687010173743
0.3250501002004008,-0.715928643686899
0.3346693386773547,-0.7490717898618482
0.3442885771543086,-0.7796460057821886
0.3539078156312625,-0.8078725687286828
0.3635270541082164,-0.8339496178832517
0.37314629258517035,-0.8580550722536874
0.38276553106212424,-0.8803491112267605
0.3923847695390782,-0.9009762942283548
0.4020040080160321,-0.920067380951149
0.411623246492986,-0.9377409017578132
0.4212424849699399,-0.9541045184396273
0.4308617234468938,-0.9692562080750167
0.44048096192384767,-0.9832852967429273
0.4501002004008016,-0.9962733651415832
0.4597194388777555,-1.0082950443454712
0.4693386773547094,-1.0194187168998026
0.4789579158316633,-1.0297071360129428
0.48857715430861726,-1.0392179736008702
0.49819639278557115,-1.0480043063612232
0.507815631262525,-1.0561150476924268
0.5174348697394789,-1.0635953322098635
0.5270541082164328,-1.0704868586762297
0.5366733466933868,-1.0768281964084128
0.5462925851703406,-1.082655059556283
0.5559118236472946,-1.0880005530905987
0.5655310621242484,-1.092895393856186
0.5751503006012024,-1.0973681096141266
0.5847695390781563,-1.1014452186383152
0.5943887775551102,-1.1051513921015874
0.6040080160320641,-1.1085096012086493
0.613627254509018,-1.1115412507795581
0.623246492985972,-1.114266300775586
0.6328657314629258,-1.116703377073673
0.6424849699398798,-1.1188698726094075
0.6521042084168336,-1.1207820398989243
0.6617234468937876,-1.122455075793999
0.6713426853707415,-1.1239031992334523
0.6809619238476954,-1.1251397226614375
0.6905811623246493,-1.1261771176960278
0.7002004008016032,-1.1270270755707377
0.7098196392785572,-1.1277005628077388
0.719438877755511,-1.1282078725350568
0.729058116232465,-1.128558671814178
0.7386773547094188,-1.1287620453095277
0.7482965931863728,-1.1288265355970628
0.7579158316633265,-1.128760180382807
0.7675350701402806,-1.128570546877512
0.7771543086172346,-1.1282647635527696
0.7867735470941883,-1.1278495494836447
0.7963927855711423,-1.127331241467835
0.8060120240480961,-1.1267158190943123
0.8156312625250501,-1.12600892792435
0.8252505010020039,-1.1252159009303107
0.8348697394789579,-1.1243417783324112
0.8444889779559117,-1.1233913259567494
0.8541082164328657,-1.1223690522357233
0.8637274549098197,-1.1212792239550107
0.8733466933867735,-1.1201258808515093
0.8829659318637275,-1.118912849151918
0.8925851703406813,-1.1176437541383026
0.9022044088176353,-1.116322031820813
0.9118236472945891,-1.1149509397881703
0.9214428857715431,-1.113533567305536
0.9310621242484969,-1.1120728447186403
0.9406813627254509,-1.1105715522235153
0.9503006012024049,-1.1090323280519936
0.9599198396793587,-1.1074576761215873
0.9695390781563127,-1.105849973193258
0.9791583166332665,-1.1042114755761248
0.9887775551102205,-1.1025443254175578
0.9983967935871743,-1.1008505566093887
1.0080160320641283,-1.0991321003426868
1.017635270541082,-1.0973907903370699
1.027254509018036,-1.0956283677703946
1.03687374749499,-1.0938464859314299
1.0464929859719438,-1.0920467146158128
1.0561122244488979,-1.0902305442842577
1.0657314629258516,-1.0883993899996054
1.0753507014028056,-1.0865545951586146
1.0849699398797594,-1.084697435031552
1.0945891783567134,-1.0828291201227247
1.1042084168336672,-1.0809507993631333
1.1138276553106212,-1.079063563146016
1.123446893787575,-1.0771684462131383
1.133066132264529,-1.0752664304028783
1.142685370741483,-1.073358447265456
1.1523046092184368,-1.0714453805536728
1.1619238476953908,-1.0695280685956303
1.1715430861723446,-1.0676073065548182
1.1811623246492986,-1.065683848583809
1.1907815631262524,-1.0637584098759665
1.2004008016032064,-1.0618316686202558
1.2100200400801602,-1.0599042678637578
1.2196392785571142,-1.0579768172854411
1.229258517034068,-1.0560498948854906
1.238877755511022,-1.0541240485936925
1.2484969939879758,-1.0521997978002995
1.2581162324649298,-1.0502776348125844
1.2677354709418838,-1.048358026240277
1.2773547094188376,-1.0464414143125356
1.2869739478957916,-1.0445282181296898
1.2965931863727453,-1.0426188348519672
1.3062124248496993,-1.0407136408280773
1.3158316633266531,-1.0388129926657639
1.3254509018036071,-1.0369172282471424
1.335070140280561,-1.0350266676905235
1.344689378757515,-1.0331416142613699
1.354308617234469,-1.031262355234075
1.3639278557114227,-1.0293891627069032
1.3735470941883767,-1.027522294371986
1.3831663326653305,-1.0256619942418683
1.3927855711422845,-1.0238084933352467
1.4024048096192383,-1.0219620103227278
1.4120240480961923,-1.0201227521352894
1.421643286573146,-1.0182909145363668
1.4312625250501,-1.0164666826598867
1.440881763527054,-1.0146502315153736
1.4505010020040079,-1.0128417264620884
1.460120240480962,-1.0110413236536617
1.4697394789579157,-1.0092491704547024
1.4793587174348697,-1.0074654058312693
1.4889779559118235,-1.0056901607161024
1.4985971943887775,-1.0039235583507904
1.5082164328657313,-1.00216571460588
1.5178356713426853,-1.0004167382805034
1.5274549098196393,-0.9986767313829711
1.537074148296593,-0.996945789393717
1.546693386773547,-0.9952240015117312
1.5563126252505008,-0.9935114508860573
1.5659318637274549,-0.9918082148335631
1.5755511022044086,-0.9901143650439457
1.5851703406813626,-0.988429967773403
1.5947895791583164,-0.9867550840280283
1.6044088176352704,-0.9850897697378693
1.6140280561122244,-0.9834340759227417
1.6236472945891782,-0.9817880488507058
1.6332665330661322,-0.980151730190013
1.642885771543086,-0.9785251571554678
1.65250501002004,-0.9769083626496511
1.6621242484969938,-0.9753013753999964
1.6717434869739478,-0.9737042200920356
1.6813627254509016,-0.9721169174996237
1.6909819639278556,-0.9705394846120758
1.7006012024048096,-0.9689719347593435
1.7102204408817634,-0.9674142777348274
1.7198396793587174,-0.9658665199166381
1.7294589178356712,-0.964328664387163
1.7390781563126252,-0.9628007110513097
1.748697394789579,-0.9612826567533195
1.758316633266533,-0.9597744953925755
1.7679358717434868,-0.9582762180379283
1.7775551102204408,-0.9567878130410079
1.7871743486973948,-0.9553092661481737
1.7967935871743486,-0.9538405606112064
1.8064128256513026,-0.9523816772965066
1.8160320641282564,-0.9509325947929244
1.8256513026052104,-0.9494932895177772
1.8352705410821641,-0.948063735821379
1.8448897795591181,-0.9466439060894988
1.854509018036072,-0.9452337708439014
1.864128256513026,-0.9438332988408225
1.87374749498998,-0.9424424571671993
1.8833667334669337,-0.9410612113344835
1.8929859719438877,-0.939689525370089
1.9026052104208415,-0.9383273619062437
1.9122244488977955,-0.93697468226627
1.9218436873747493,-0.9356314465480301
1.9314629258517033,-0.934297613704773
1.941082164328657,-0.9329731416229937
1.950701402805611,-0.9316579871975453
1.9603206412825651,-0.9303521064038076
1.969939879759519,-0.9290554543669843
1.979559118236473,-0.9277679854284552
1.9891783567134267,-0.9264896532093038
1.9987975951903807,-0.9252204106708548
2.0084168336673347,-0.9239602101725117
2.0180360721442887,-0.9227090035266323
2.0276553106212423,-0.9214667420507621
2.0372745490981963,-0.92023337661708
2.0468937875751503,-0.9190088576992272
2.0565130260521043,-0.9177931354165193
2.0661322645290583,-0.9165861595757073
2.075751503006012,-0.9153878797101987
2.085370741482966,-0.9141982451170583
2.09498997995992,-0.9130172048915587
2.104609218436874,-0.9118447079597098
2.1142284569138274,-0.9106807031085538
2.1238476953907814,-0.9095251390144894
2.1334669338677354,-0.9083779642696954
2.1430861723446895,-0.9072391274066209
2.1527054108216435,-0.9061085769208327
2.162324649298597,-0.9049862612920925
2.171943887775551,-0.9038721290038925
2.181563126252505,-0.9027661285615377
2.191182364729459,-0.9016682085087043
2.200801603206413,-0.9005783174428142
2.2104208416833666,-0.8994964040289791
2.2200400801603206,-0.898422417012926
2.2296593186372746,-0.8973563052327456
2.2392785571142286,-0.8962980176296296
2.2488977955911826,-0.8952475032576275
2.258517034068136,-0.8942047112925529
2.26813627254509,-0.8931695910400677
2.277755511022044,-0.8921420919429393
2.287374749498998,-0.8911221635876856
2.296993987975952,-0.8901097557104954
2.306613226452906,-0.8891048182026497
2.31623246492986,-0.8881073011152927
2.325851703406814,-0.887117154663807
2.335470941883768,-0.886134329231695
2.3450901803607214,-0.8851587753740879
2.3547094188376754,-0.8841904438208874
2.3643286573146294,-0.8832292854795573
2.3739478957915834,-0.882275251437713
2.383567134268537,-0.8813282929653409
2.393186372745491,-0.8803883615169259
2.402805611222445,-0.8794554087333085
2.412424849699399,-0.8785293864433779
2.422044088176353,-0.8776102466656749
2.4316633266533065,-0.8766979416098631
2.4412825651302605,-0.8757924236780626
2.4509018036072145,-0.8748936454661713
2.4605210420841686,-0.8740015597650774
2.470140280561122,-0.8731161195618451
2.479759519038076,-0.8722372780408889
2.48937875751503,-0.8713649885850875
2.498997995991984,-0.8704992047769218
2.508617234468938,-0.8696398803996007
2.5182364729458917,-0.8687869694382054
2.5278557114228457,-0.8679404260808069
2.5374749498997997,-0.8671002047196645
