R_angstrom,E_CCSD_aug-cc-pVTZ_Eh
0.2,0.018679482434063775
0.2096192384769539,-0.08629399835326743
0.21923847695390783,-0.18058741110157236
0.22885771543086172,-0.26556882746052557
0.23847695390781565,-0.3423900546187035
0.24809619238476954,-0.4120156905980258
0.25771543086172344,-0.47527612769426064
0.26733466933867733,-0.5328796229437568
0.2769539078156313,-0.5854362858240566
0.2865731462925852,-0.6334744692130682
0.2961923847695391,-0.6774539833540174
0.305811623246493,-0.7177768314172177
0.3154308617234469,-0.7547959824698793
0.3250501002004008,-0.788822587567046
0.3346693386773547,-0.8201319484887147
0.3442885771543086,-0.8489684848388671
0.3539078156312625,-0.875549889827763
0.3635270541082164,-0.9000706277792077
0.37314629258517035,-0.9227048929684675
0.38276553106212424,-0.9436091265706135
0.3923847695390782,-0.9629241681498688
0.4020040080160321,-0.9807771036555674
0.411623246492986,-0.9972828595500888
0.4212424849699399,-1.012545583361776
0.4308617234468938,-1.026659843666149
0.44048096192384767,-1.0397116763429504
0.4501002004008016,-1.0517794994883902
0.4597194388777555,-1.0629349154976355
0.4693386773547094,-1.0732434160131337
0.4789579158316633,-1.082765002638414
0.48857715430861726,-1.0915547348353765
0.49819639278557115,-1.0996632144007616
0.507815631262525,-1.1071370146761454
0.5174348697394789,-1.1140190615717238
0.5270541082164328,-1.1203489724219775
0.5366733466933868,-1.1261633579524426
0.5462925851703406,-1.1314960918592303
0.5559118236472946,-1.136378551980763
0.5655310621242484,-1.140839836467575
0.5751503006012024,-1.1449069579394746
0.5847695390781563,-1.1486050182198382
0.5943887775551102,-1.151957365923295
0.6040080160320641,-1.1549857388560343
0.613627254509018,-1.1577103929600332
0.623246492985972,-1.160150219304729
0.6328657314629258,-1.1623228504359686
0.6424849699398798,-1.16424475722737
0.6521042084168336,-1.165931337231661
0.6617234468937876,-1.1673969953988315
0.6713426853707415,-1.1686552179176974
0.6809619238476954,-1.169718639833317
0.6905811623246493,-1.1705991070089923
0.7002004008016032,-1.171307732926803
0.7098196392785572,-1.1718549507571918
0.719438877755511,-1.1722505610760943
0.729058116232465,-1.1725037755742587
0.7386773547094188,-1.1726232570709567
0.7482965931863728,-1.172617156134093
0.7579158316633265,-1.172493144597676
0.7675350701402806,-1.1722584462716332
0.7771543086172346,-1.1719198651387872
0.7867735470941883,-1.1714838113860468
0.7963927855711423,-1.1709563252572508
0.8060120240480961,-1.1703430997451916
0.8156312625250501,-1.1696495013776838
0.8252505010020039,-1.1688805900355992
0.8348697394789579,-1.1680411376669866
0.8444889779559117,-1.1671356460511608
0.8541082164328657,-1.1661683636746871
0.8637274549098197,-1.1651433017439015
0.8733466933867735,-1.1640642493336295
0.8829659318637275,-1.1629347876596197
0.8925851703406813,-1.1617583034625145
0.9022044088176353,-1.1605380014987197
0.9118236472945891,-1.1592769161459926
0.9214428857715431,-1.157977922149216
0.9310621242484969,-1.1566437445443116
0.9406813627254509,-1.1552769678086394
0.9503006012024049,-1.1538800442972725
0.9599198396793587,-1.152455302023308
0.9695390781563127,-1.1510049518455892
0.9791583166332665,-1.149531094121183
0.9887775551102205,-1.1480357248771742
0.9983967935871743,-1.1465207415513474
1.0080160320641283,-1.1449879483448255
1.017635270541082,-1.1434390612246526
1.027254509018036,-1.1418757126089794
1.03687374749499,-1.1402994557631763
1.0464929859719438,-1.1387117689230288
1.0561122244488979,-1.1371140592080533
1.0657314629258516,-1.1355076662352377
1.0753507014028056,-1.1338938655578295
1.0849699398797594,-1.1322738720555214
1.0945891783567134,-1.1306488427746542
1.1042084168336672,-1.1290198800181979
1.1138276553106212,-1.127388033811421
1.123446893787575,-1.1257543047888838
1.133066132264529,-1.1241196464045067
1.142685370741483,-1.1224849672631048
1.1523046092184368,-1.120851133269527
1.1619238476953908,-1.1192189696540331
1.1715430861723446,-1.1175892628809534
1.1811623246492986,-1.115962762447374
1.1907815631262524,-1.1143401870589604
1.2004008016032064,-1.112722203823943
1.2100200400801602,-1.1111094745662102
1.2196392785571142,-1.109502612438257
1.229258517034068,-1.1079022056640908
1.238877755511022,-1.1063088143222104
1.2484969939879758,-1.1047229715384908
1.2581162324649298,-1.1031451846128453
1.2677354709418838,-1.1015759360839792
1.2773547094188376,-1.100015684736229
1.2869739478957916,-1.0984648665522125
1.2965931863727453,-1.0969238958193828
1.3062124248496993,-1.0953931651597262
1.3158316633266531,-1.09387304758796
1.3254509018036071,-1.0923638964456976
1.335070140280561,-1.0908660463433797
1.344689378757515,-1.0893798138570954
1.354308617234469,-1.0879054981932537
1.3639278557114227,-1.0864433818213253
1.3735470941883767,-1.0849937310729612
1.3831663326653305,-1.0835567967070117
1.3927855711422845,-1.0821328144533024
1.4024048096192383,-1.0807220055448339
1.4120240480961923,-1.0793245772573605
1.421643286573146,-1.0779407232743887
1.4312625250501,-1.0765706240646475
1.440881763527054,-1.0752144481975883
1.4505010020040079,-1.073872351341595
1.460120240480962,-1.0725444776125745
1.4697394789579157,-1.071230959699249
1.4793587174348697,-1.069931919380895
1.4889779559118235,-1.0686474676721591
1.4985971943887775,-1.0673777053110147
1.5082164328657313,-1.0661227230553711
1.5178356713426853,-1.0648826020022844
1.5274549098196393,-1.0636574138951216
1.537074148296593,-1.062447221418919
1.546693386773547,-1.061252078484773
1.5563126252505008,-1.060072030503291
1.5659318637274549,-1.0589071146482392
1.5755511022044086,-1.0577573601100576
1.5851703406813626,-1.0566227883404704
1.5947895791583164,-1.0555034132878864
1.6044088176352704,-1.054399241624686
1.6140280561122244,-1.0533102729662251
1.6236472945891782,-1.0522365000838216
1.6332665330661322,-1.0511779091039086
1.642885771543086,-1.0501344797128351
1.65250501002004,-1.0491061853434251
1.6621242484969938,-1.048092993361233
1.6717434869739478,-1.0470948652440037
1.6813627254509016,-1.046111756756059
1.6909819639278556,-1.0451436181175155
1.7006012024048096,-1.0441903941694006
1.7102204408817634,-1.043252024534344
1.7198396793587174,-1.0423284437308273
1.7294589178356712,-1.0414195815405982
1.7390781563126252,-1.0405253627314488
1.748697394789579,-1.0396457076325518
1.758316633266533,-1.0387805320657804
1.7679358717434868,-1.0379297475314053
1.7775551102204408,-1.0370932613490782
1.7871743486973948,-1.0362709767973388
1.7967935871743486,-1.0354627932512004
1.8064128256513026,-1.0346686063189583
1.8160320641282564,-1.0338883079776848
1.8256513026052104,-1.0331217867079454
1.8352705410821641,-1.0323689276277104
1.8448897795591181,-1.0316296126257212
1.854509018036072,-1.030903720494246
1.864128256513026,-1.0301911270617166
1.87374749498998,-1.029491705324524
1.8833667334669337,-1.0288053255788214
1.8929859719438877,-1.0281318555521584
1.9026052104208415,-1.027471160534576
1.9122244488977955,-1.026823103509283
1.9218436873747493,-1.0261875452833398
1.9314629258517033,-1.0255643446178078
1.941082164328657,-1.0249533584495238
1.950701402805611,-1.024354441651992
1.9603206412825651,-1.0237674477153502
1.969939879759519,-1.0231922285070398
1.979559118236473,-1.0226286344906352
1.9891783567134267,-1.0220765147578694
