R_angstrom,E_root_0,E_root_1,E_root_2,E_root_3,E_root_4,E_root_5,E_root_6,E_root_7,E_root_8,E_root_9
0.2,0.007031714859485394,0.6911822213998939,0.8473760804093238,0.8916311927630591,1.1109759493096292,1.2462466675163013,1.5753363984004127,1.8995165671675722,1.9409830042829679,1.961334475041654
0.2241206030150754,-0.23479558719831584,0.43756794078032835,0.5934968906072173,0.6382007409031405,0.8562125263232654,0.990488352242703,1.3245340467624023,1.6195153172955834,1.655533336986061,1.6783614525382493
0.24824120603015076,-0.42159692007958105,0.23907753197000026,0.39468194133490053,0.4399442293525484,0.6565506160503263,0.7897183965453907,1.1286102971389265,1.3945021541239884,1.425528334764273,1.4508634868651793
0.2723618090452261,-0.568347990580623,0.08081361997728309,0.23603539267149531,0.2819647409476369,0.4970994384523977,0.6290565932121257,0.9725869485367287,1.2095093432182638,1.236531500333386,1.2641292743693602
0.2964824120603015,-0.6851507227221918,-0.04727212766477984,0.10751205844189315,0.1542136156107521,0.3678155943843968,0.4984728713208151,0.8463285022651509,1.0542428034049598,1.07900144041702,1.1082325504079518
0.3206030150753769,-0.7790579691476722,-0.15219879934572855,0.002095592258058554,0.04967020925332677,0.2616834107410799,0.39096383834497384,0.7427160603384569,0.9214555299656638,0.9463915613690685,0.9762320472116413
0.34472361809045227,-0.8551420858215151,-0.23901630710731814,-0.08526142757552391,-0.036718189349522756,0.17365565462155463,0.30149070076896356,0.6565623928608713,0.8062007847494799,0.8337978027076938,0.8631272813734556
0.3688442211055276,-0.9171431647095218,-0.3114493226135566,-0.15828081392923576,-0.10867960644226549,0.10001004102197819,0.22633850722602578,0.5839147939454108,0.7052490859862662,0.7373017843719255,0.7652240700873556
0.392964824120603,-0.9678760571147393,-0.37230299510908194,-0.21976458951821654,-0.16902287589327858,0.03794353454985777,0.16271057384739573,0.5215300783844865,0.6165358041546014,0.6538470821441992,0.6797336798985296
0.4170854271356784,-1.0094961568495768,-0.42372759524209425,-0.27185966486608515,-0.2199021029604955,-0.01469226283247771,0.10846338001100264,0.46633434842036847,0.5389959843908222,0.5811521464039995,0.604511097953612
0.44120603015075377,-1.0436783633077125,-0.4673965682858334,-0.31623593485621293,-0.26299457049361785,-0.05956912943542103,0.061928003324703385,0.4147786463569476,0.472803096653052,0.5175748226869271,0.5378791748680944
0.4653266331658292,-1.071740973439059,-0.5046296331184181,-0.35420944646554076,-0.29962375949713516,-0.09800528470550796,0.021786468947141424,0.36318726370699606,0.4187182541588612,0.4620265831086713,0.4785074462195129
0.4894472361809045,-1.0947335019997761,-0.5364798804689046,-0.386829550716389,-0.33084643424513693,-0.13105244325571164,-0.01301582618770536,0.3107469695865017,0.3748240819926213,0.4139359365446579,0.4253268276629075
0.5135678391959799,-1.1135000693105457,-0.5637965791705049,-0.4149417051020605,-0.3575154673543992,-0.15955858264142164,-0.043333237685206694,0.2594009747540009,0.3365852275900273,0.37294490452938156,0.3774683033049613
0.5376884422110553,-1.1287257505501422,-0.5872711766565378,-0.4392333960264724,-0.38032583863684855,-0.18421392437960382,-0.0698661165964517,0.21057233179800827,0.3008162887245851,0.3342181313537662,0.33754437920514446
0.5618090452261306,-1.1409709460171271,-0.6074714661134378,-0.46026822547962654,-0.3998487845761173,-0.20558509424467564,-0.09319554166357713,0.16470546981394163,0.26675142256522566,0.2949845727634135,0.3032683192760487
0.585929648241206,-1.150697390601076,-0.6248673108001103,-0.47851163528717533,-0.41655754513494825,-0.22414083484350822,-0.11381067028533909,0.12181213426861226,0.23466468215471437,0.26612385857724585,0.30887415310766797
0.6100502512562813,-1.1582881251543196,-0.639850258172993,-0.4943506486194964,-0.43084699389634706,-0.24027159905985362,-0.13213203729985357,0.08176888938407878,0.2047677950749257,0.2279294188892359,0.28773020250529224
0.6341708542713568,-1.1640628629662984,-0.6527486465264128,-0.5081092245618731,-0.4430487333595855,-0.25430465818404924,-0.14853368365200215,0.044433058290233696,0.17704379750543997,0.19085881750751377,0.2681196672651287
0.6582914572864322,-1.1682898932307857,-0.663839392082274,-0.520060459051616,-0.4534427553793501,-0.26651589879279824,-0.16336650053689372,0.009689288004469776,0.15117949184152724,0.15579155213721674,0.16940236402614373
0.6824120603015076,-1.1711954659341959,-0.6733572936314909,-0.5304365342478201,-0.4622666220993341,-0.2771391346192422,-0.17698383678414475,-0.022527591474434394,0.12165163444254146,0.12822035168589263,0.1441834420666891
0.7065326633165829,-1.1729712889326325,-0.6815024604967161,-0.5394369347506607,-0.4697227748886894,-0.2863735317895375,-0.18976748191122816,-0.052217733076293515,0.09021312664428838,0.10618936467565443,0.1209284346049947
0.7306532663316583,-1.1737805421932404,-0.6884462723865533,-0.5472350322724367,-0.4759844814718234,-0.2943895677707541,-0.20214705090749907,-0.07930737207767147,0.060415018560556644,0.08590280364828284,0.09944211392223323
