R_angstrom,E_CCSD,E_exc_1,E_exc_2
0.2,0.018679482576709518,0.6980553765892218,0.7139531897648426
0.2241206030150754,-0.22480569263386962,0.4433152506174036,0.4580878566321085
0.24824120603015076,-0.41301470569405613,0.24389632024212887,0.25725736763830725
0.2723618090452261,-0.5609407916388542,0.08487896791384225,0.09707019684817969
0.2964824120603015,-0.6787213256776885,-0.043812717456934484,-0.03281921575836432
0.3206030150753769,-0.7734453272963002,-0.14922563453039644,-0.13945491573867624
0.34472361809045227,-0.8502178046453355,-0.23643478883509939,-0.22790972624262418
0.3688442211055276,-0.9128048210763893,-0.30918556502563316,-0.3019273925957127
0.392964824120603,-0.9640409455255425,-0.37029920055968624,-0.36432796706973203
0.4170854271356784,-1.0060958801621944,-0.42193786890251245,-0.41727280530818706
0.44120603015075377,-1.04065466753439,-0.465783574104668,-0.46244336694766086
0.4653266331658292,-1.0690428766535223,-0.5031621655659716,-0.5011651025847926
0.4894472361809045,-1.0923154639102348,-0.535131285180755,-0.534495351082331
0.5135678391959799,-1.1113209295607251,-0.5632866517793279,-0.5625437456834759
0.5376884422110553,-1.1267482739662733,-0.5882331606444586,-0.5860939381721626
0.5618090452261306,-1.139161798827622,-0.6099050924727064,-0.6063522448769489
0.585929648241206,-1.1490272091212677,-0.6287745849359443,-0.6237908760890587
0.6100502512562813,-1.1567314504881414,-0.6452353664358801,-0.6388035469331795
0.6341708542713568,-1.1625979603419103,-0.659617857922209,-0.6517206140241292
0.6582914572864322,-1.1668985553448166,-0.6722009223395977,-0.6628208839063753
0.6824120603015076,-1.1698628042899892,-0.6832211054620352,-0.6723409180510804
0.7065326633165829,-1.1716854937270138,-0.6928799816338156,-0.6804824358178732
0.7306532663316583,-1.172532613644349,-0.701350048577634,-0.687418248909511
0.7547738693467336,-1.1725461659629355,-0.7087794991577453,-0.6932970457308141
0.778894472361809,-1.171848021902065,-0.7152961150259749,-0.6982472657022942
0.8030150753768843,-1.1705430199495697,-0.7210104630289005,-0.7023802547162956
0.8271356783919597,-1.1687214868231657,-0.7260185253150767,-0.7057928511983681
0.8512562814070352,-1.166461348141877,-0.7304038614950185,-0.7085695337213954
0.8753768844221106,-1.1638299506389898,-0.7342393865513592,-0.710784217373116
0.8994974874371859,-1.160885654513046,-0.7375888421162732,-0.7125017707911855
0.9236180904522613,-1.1576792074490985,-0.740508029531553,-0.7137792984980512
0.9477386934673366,-1.1542549008030905,-0.7430458578872249,-0.7146672159355167
0.971859296482412,-1.1506515222413833,-0.745245244171336,-0.7152101655166627
0.9959798994974873,-1.1469031349212244,-0.7471438906887767,-0.7154477914165643
1.0201005025125627,-1.143039718774433,-0.7487749576023212,-0.7154154028697747
1.0442211055276382,-1.1390877054936717,-0.7501676445907921,-0.7151445453897524
1.0683417085427136,-1.135070431121457,-0.7513476937792736,-0.7146634955541331
1.092462311557789,-1.1310085229421136,-0.7523378242464847,-0.7139976916370798
1.1165829145728643,-1.1269202322094838,-0.753158107491567,-0.71317011009744
1.1407035175879396,-1.1228217210204607,-0.7538262901397526,-0.7122015964302967
1.164824120603015,-1.1187273097635082,-0.7543580715017942,-0.7111111580489021
1.1889447236180903,-1.114649690466564,-0.7547673496333381,-0.709916226834419
1.2130653266331657,-1.1106001106625363,-0.7550664284076408,-0.7086328983739272
1.237185929648241,-1.1065885318691089,-0.7552661980632396,-0.7072761544317421
1.2613065326633166,-1.1026237603833349,-0.7553763035062699,-0.7058600719018242
1.285427135678392,-1.0987135899695855,-0.7554052787880248,-0.7043980519178615
1.3095477386934673,-1.0948648682587587,-0.7553606709588412,-0.7029030116364533
1.3336683417085426,-1.0910836097543573,-0.7552491569086743,-0.7013876377715609
1.357788944723618,-1.0873750683489662,-0.7550766417621241,-0.6998646473260667
1.3819095477386933,-1.0837438061972675,-0.7548483489326075,-0.6983470925591252
1.4060301507537687,-1.0801937547016296,-0.7545689011795278,-0.6968487274318528
1.430150753768844,-1.0767282688336133,-0.7542423934929846,-0.6953844522698329
1.4542713567839194,-1.073350175714366,-0.7538724585505207,-0.6939708554693114
1.478391959798995,-1.0700618182028627,-0.7534623253532089,-0.6926268640407175
1.5025125628140703,-1.066865094158079,-0.7530148715539566,-0.6913745117459009
1.5266331658291457,-1.063761491923384,-0.7525326699504246,-0.6902397183916088
1.550753768844221,-1.0607521224678718,-0.7520180295881311,-0.6892529869289243
1.5748743718592964,-1.057837748547072,-0.7514730319092606,-0.6884495672769771
1.5989949748743717,-1.0550188112008614,-0.7508995623612673,-0.687868484135204
1.623115577889447,-1.0522954538766662,-0.7502993378670572,-0.6875495048738856
1.6472361809045226,-1.049667544447873,-0.7496739305466422,-0.6875273225920093
1.671356783919598,-1.047134695384738,-0.7490247880430954,-0.6878233873808735
1.6954773869346733,-1.0446962823276702,-0.7483532507613826,-0.6884379832793674
1.7195979899497487,-1.0423514613046188,-0.7476605664506916,-0.6893466099037983
1.743718592964824,-1.040099184825016,-0.7469479030521605,-0.690503359624059
1.7678391959798994,-1.0379382170696791,-0.7462163596319906,-0.6918498243354777
1.7919597989949747,-1.0358671483786226,-0.7454669743843368,-0.6933251864431904
1.81608040201005,-1.0338844092165782,-0.7447007314441002,-0.6948737508858852
1.8402010050251254,-1.0319882837684202,-0.7439185670527043,-0.6964487494790608
1.864321608040201,-1.0301769232869689,-0.7431213745927006,-0.6980131835131759
1.8884422110552763,-1.0284483592824283,-0.742310010599225,-0.6995390032964492
1.9125628140703517,-1.02680051660947,-0.7414852896403864,-0.7010056435223962
1.936683417085427,-1.0252312380647082,-0.7406479996883333,-0.7023984868722493
1.9608040201005024,-1.0237382526846555,-0.7397988975325552,-0.7037075313914193
1.9849246231155777,-1.0223192529155165,-0.7389387098501939,-0.7049262687471765
2.0090452261306533,-1.0209718659972884,-0.7380681367886592,-0.706050843289988
2.033165829145729,-1.0196936762557238,-0.7371878528645561,-0.7070793929791055
2.057286432160804,-1.0184822371402802,-0.7362985081329867,-0.7080115526231966
2.0814070351758795,-1.0173350695210366,-0.7354007302867976,-0.7088480823389318
